AAANNN.p,SZS,v8.2.0,v8.1.0,v8.0.0,v7.5.0,v7.4.0,v7.3.0,v7.2.0,v7.1.0,v7.0.0,v6.4.0,v6.3.0
AGT001+1,THM,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.08
AGT001+2,THM,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.08
AGT002+1,THM,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.08
AGT002+2,THM,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.08
AGT003+1,THM,0.22,0.19,0.19,0.19,0.22,0.23,0.21,0.17,0.17,0.20,0.27
AGT003+2,THM,0.17,0.14,0.11,0.11,0.12,0.10,0.10,0.10,0.13,0.10,0.15
AGT004+1,THM,0.14,0.11,0.08,0.08,0.09,0.13,0.14,0.14,0.09,0.07,0.15
AGT004+2,THM,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.08
AGT005+1,THM,0.33,0.31,0.31,0.31,0.38,0.33,0.34,0.31,0.35,0.40,0.38
AGT005+2,THM,0.17,0.14,0.11,0.11,0.12,0.10,0.10,0.10,0.13,0.10,0.15
AGT006+1,THM,0.75,0.72,0.72,0.72,0.81,0.87,0.86,0.86,0.83,0.80,0.81
AGT006+2,THM,0.72,0.69,0.67,0.67,0.78,0.73,0.79,0.79,0.74,0.73,0.73
AGT007+1,THM,0.81,0.75,0.75,0.75,0.84,0.83,0.90,0.90,0.87,0.83,0.85
AGT007+2,THM,0.75,0.75,0.75,0.75,0.78,0.83,0.86,0.86,0.78,0.83,0.77
AGT008+1,THM,0.81,0.81,0.83,0.83,0.88,0.90,0.90,0.90,0.87,0.83,0.85
AGT008+2,THM,0.75,0.78,0.78,0.78,0.88,0.90,0.93,0.93,0.87,0.87,0.81
AGT009+1,THM,0.61,0.61,0.58,0.58,0.66,0.70,0.62,0.59,0.61,0.67,0.77
AGT009+2,THM,0.64,0.61,0.61,0.61,0.69,0.73,0.69,0.66,0.70,0.70,0.69
AGT010+1,THM,0.78,0.75,0.72,0.72,0.78,0.83,0.76,0.76,0.74,0.80,0.81
AGT010+2,THM,0.67,0.67,0.67,0.67,0.75,0.73,0.79,0.76,0.70,0.77,0.73
AGT011+1,THM,0.78,0.75,0.83,0.83,0.84,0.83,0.86,0.86,0.83,0.77,0.81
AGT011+2,THM,0.72,0.69,0.78,0.78,0.84,0.87,0.86,0.86,0.78,0.83,0.77
AGT012+1,THM,0.64,0.64,0.61,0.61,0.69,0.77,0.66,0.66,0.65,0.73,0.81
AGT012+2,THM,0.69,0.64,0.64,0.64,0.75,0.80,0.66,0.66,0.65,0.80,0.73
AGT013+1,THM,0.78,0.72,0.75,0.75,0.88,0.90,0.86,0.86,0.78,0.83,0.88
AGT013+2,THM,0.75,0.72,0.81,0.81,0.84,0.90,0.72,0.72,0.70,0.83,0.77
AGT014+1,THM,0.19,0.17,0.19,0.19,0.22,0.27,0.28,0.28,0.22,0.20,0.23
AGT014+2,THM,0.11,0.11,0.11,0.11,0.12,0.17,0.17,0.17,0.22,0.17,0.15
AGT015+1,THM,0.17,0.17,0.17,0.17,0.19,0.23,0.24,0.24,0.22,0.20,0.19
AGT015+2,THM,0.11,0.08,0.08,0.08,0.09,0.07,0.07,0.07,0.09,0.07,0.08
AGT016+1,THM,0.17,0.22,0.22,0.22,0.19,0.27,0.31,0.31,0.26,0.23,0.27
AGT016+2,THM,0.11,0.14,0.14,0.14,0.16,0.17,0.17,0.17,0.22,0.17,0.19
AGT017+1,THM,0.14,0.14,0.14,0.14,0.16,0.20,0.21,0.21,0.17,0.17,0.19
AGT017+2,THM,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.08
AGT018+1,THM,0.67,0.67,0.61,0.61,0.69,0.77,0.62,0.62,0.65,0.73,0.77
AGT018+2,THM,0.67,0.64,0.64,0.64,0.72,0.80,0.69,0.69,0.65,0.80,0.73
