Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.6.1,1816.81265,17017.00000,347.00000
Leo-III---1.6.6,911.16098,12369.00000,52.00000
Vampire-SAT---4.6.1,794.81611,11468.00000,82.00000
E---2.6.X,793.34380,13796.00000,2.00000
cvc5---1.0,761.45926,11897.00000,38.00000
E-SAT---2.6.X,748.91690,13560.00000,1.00000
iProver---3.5,628.06582,11488.00000,21.00000
CSE_E---1.3,607.27303,10724.00000,20.00000
Zipperpin---2.1,599.08083,11221.00000,17.00000
Isabelle---2016,585.89146,11133.00000,1.00000
Isabelle-HOT---2016,577.57747,11046.00000,1.00000
cvc5-SAT---1.0,547.79467,9599.00000,6.00000
Z3---4.8.9.0,490.76123,8601.00000,36.00000
Etableau---0.67,430.50660,9896.00000,4.00000
Enigma---0.5.1,394.04415,6365.00000,19.00000
GKC---0.7,385.30980,8839.00000,6.00000
Beagle---0.9.47,336.23223,7916.00000,1.00000
Nitpick---2016,316.61978,1809.00000,106.00000
ET---2.0,308.48673,5427.00000,9.00000
LEO-II---1.7.0,304.78304,6763.00000,1.00000
SPASS---3.9,301.73048,8219.00000,4.00000
SNARK---20120808r022,282.02081,7179.00000,2.00000
Satallax---3.5,267.62489,2548.00000,10.00000
Princess---170717,266.09596,4691.00000,5.00000
Prover9---1109a,262.96622,6680.00000,12.00000
SATCoP---0.1,257.26444,6662.00000,7.00000
lambdaE---22.03.23,251.22664,2514.00000,16.00000
Drodi---3.1.5,249.68889,7502.00000,0.00000
Twee---2.4,227.52687,4931.00000,20.00000
E-Darwin---1.5,223.26684,6751.00000,0.00000
Equinox---6.0.1a,210.63208,6228.00000,0.00000
Darwin---1.4.5,210.41326,6118.00000,4.00000
HOLyHammer---0.21,201.93139,1771.00000,2.00000
Geo-III---2018C,193.93829,4961.00000,11.00000
iProver-Eq---0.85,191.44970,5883.00000,0.00000
Bliksem---1.12,182.19906,5530.00000,0.00000
Metis---2.4,174.38883,5520.00000,0.00000
DCTP---1.31,173.84967,3575.00000,47.00000
Paradox---4.0,172.77814,1777.00000,1.00000
ZenonModulo---0.4.2,171.96079,3417.00000,0.00000
Satallax_MaLeS---1.3,158.42598,2029.00000,1.00000
CSE---1.4,150.06963,4839.00000,2.00000
Fampire---1.3,147.12323,4030.00000,1.00000
SInE---0.4,138.66199,3808.00000,0.00000
Gandalf---c-2.6,135.24882,3563.00000,0.00000
SRASS---0.1,131.21854,3657.00000,0.00000
agsyHOL---1.0,130.84100,1704.00000,3.00000
TPS---3.120601S1b,124.15892,1470.00000,18.00000
ePrincess---1.0,118.12332,3454.00000,2.00000
iProverMo---2.5-0.1,116.24894,3458.00000,1.00000
DarwinFM---1.4.5,114.44092,1575.00000,0.00000
iProver-SAT---3.5,114.15473,1588.00000,0.00000
lazyCoP---0.1,110.84564,3975.00000,0.00000
SPASS+T---2.2.22,101.29406,829.00000,4.00000
PyRes---1.3,94.26497,3512.00000,0.00000
SOS---2.0,87.79649,3286.00000,0.00000
leanCoP---2.2,87.74443,2875.00000,0.00000
nanoCoP---1.1,85.44225,2855.00000,1.00000
Mace4---1109a,80.73959,1057.00000,1.00000
Refute---2015,77.55100,463.00000,0.00000
Waldmeister---710,74.26473,890.00000,22.00000
FDP---0.9.16,73.74283,2387.00000,0.00000
Crossbow---0.1,63.20914,731.00000,1.00000
RPx---1.0,61.37778,2301.00000,0.00000
Muscadet---4.5,57.96652,1659.00000,2.00000
cocATP---0.2.0,51.78692,717.00000,1.00000
S-SETHEO---0.0,50.34599,1768.00000,0.00000
SuperZenon---0.0.1,48.74519,1896.00000,0.00000
Zenon---0.7.1,47.06496,1838.00000,0.00000
GrAnDe---1.1,45.50049,760.00000,5.00000
Faust---1.0,44.10233,1827.00000,0.00000
Otter---3.3,38.05946,1430.00000,0.00000
SETHEO---3.3,29.29417,1100.00000,0.00000
MaedMax---1.3,28.01296,728.00000,0.00000
Fiesta---2,23.17300,661.00000,0.00000
EQP---0.9e,20.35112,604.00000,0.00000
CiME---2.01,19.08965,567.00000,0.00000
Matita---1.0,18.57758,575.00000,0.00000
CARINE---0.734,17.99164,744.00000,0.00000
Moca---0.1,16.66573,656.00000,0.00000
CSE-F---1.0,3.13082,113.00000,0.00000
JavaRes---1.3.0,2.10145,94.00000,0.00000
Scavenger---EP-0.1,0.16131,5.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
