release,values,improvement,rel,subset
v6.3.0,19762,0,0,all
v6.4.0,19984,222,0.22001982160555,all
v7.0.0,20192,208,0.206144697720515,all
v7.1.0,20245,53,0.0525272547076313,all
v7.2.0,20269,24,0.0237859266600595,all
v7.3.0,20335,66,0.0654112983151635,all
v7.4.0,20442,107,0.106045589692765,all
v7.5.0,20572,130,0.128840436075322,all
v8.0.0,20572,0,0,all
v8.1.0,20643,71,0.0703666997026759,all
v8.2.0,20771,128,0.126858275520317,all
v6.3.0,1347,0,0,FOF_CNF_EPR
v6.4.0,1351,4,0.114285714285714,FOF_CNF_EPR
v7.0.0,1360,9,0.257142857142857,FOF_CNF_EPR
v7.1.0,1361,1,0.0285714285714286,FOF_CNF_EPR
v7.2.0,1362,1,0.0285714285714286,FOF_CNF_EPR
v7.3.0,1373,11,0.314285714285714,FOF_CNF_EPR
v7.4.0,1378,5,0.142857142857143,FOF_CNF_EPR
v7.5.0,1379,1,0.0285714285714286,FOF_CNF_EPR
v8.0.0,1379,0,0,FOF_CNF_EPR
v8.1.0,1381,2,0.0571428571428571,FOF_CNF_EPR
v8.2.0,1382,1,0.0285714285714286,FOF_CNF_EPR
v6.3.0,887,0,0,CNF_SAT_RFO
v6.4.0,892,5,0.625,CNF_SAT_RFO
v7.0.0,892,0,0,CNF_SAT_RFO
v7.1.0,893,1,0.125,CNF_SAT_RFO
v7.2.0,893,0,0,CNF_SAT_RFO
v7.3.0,894,1,0.125,CNF_SAT_RFO
v7.4.0,894,0,0,CNF_SAT_RFO
v7.5.0,894,0,0,CNF_SAT_RFO
v8.0.0,894,0,0,CNF_SAT_RFO
v8.1.0,894,0,0,CNF_SAT_RFO
v8.2.0,895,1,0.125,CNF_SAT_RFO
v6.3.0,3873,0,0,CNF_UNS_RFO_NUE
v6.4.0,3896,23,0.129943502824859,CNF_UNS_RFO_NUE
v7.0.0,3938,42,0.23728813559322,CNF_UNS_RFO_NUE
v7.1.0,3938,0,0,CNF_UNS_RFO_NUE
v7.2.0,3956,18,0.101694915254237,CNF_UNS_RFO_NUE
v7.3.0,3968,12,0.0677966101694915,CNF_UNS_RFO_NUE
v7.4.0,3981,13,0.0734463276836158,CNF_UNS_RFO_NUE
v7.5.0,3988,7,0.0395480225988701,CNF_UNS_RFO_NUE
v8.0.0,3988,0,0,CNF_UNS_RFO_NUE
v8.1.0,3998,10,0.0564971751412429,CNF_UNS_RFO_NUE
v8.2.0,4050,52,0.293785310734463,CNF_UNS_RFO_NUE
v6.3.0,1020,0,0,CNF_UNS_RFO_PEQ_UEQ
v6.4.0,1029,9,0.264705882352941,CNF_UNS_RFO_PEQ_UEQ
v7.0.0,1031,2,0.0588235294117647,CNF_UNS_RFO_PEQ_UEQ
v7.1.0,1032,1,0.0294117647058824,CNF_UNS_RFO_PEQ_UEQ
v7.2.0,1032,0,0,CNF_UNS_RFO_PEQ_UEQ
v7.3.0,1032,0,0,CNF_UNS_RFO_PEQ_UEQ
v7.4.0,1036,4,0.117647058823529,CNF_UNS_RFO_PEQ_UEQ
v7.5.0,1038,2,0.0588235294117647,CNF_UNS_RFO_PEQ_UEQ
v8.0.0,1038,0,0,CNF_UNS_RFO_PEQ_UEQ
v8.1.0,1047,9,0.264705882352941,CNF_UNS_RFO_PEQ_UEQ
v8.2.0,1054,7,0.205882352941176,CNF_UNS_RFO_PEQ_UEQ
v6.3.0,746,0,0,FOF_CSA_SAT_RFO
v6.4.0,762,16,0.615384615384615,FOF_CSA_SAT_RFO
v7.0.0,764,2,0.0769230769230769,FOF_CSA_SAT_RFO
v7.1.0,765,1,0.0384615384615385,FOF_CSA_SAT_RFO
v7.2.0,765,0,0,FOF_CSA_SAT_RFO
v7.3.0,767,2,0.0769230769230769,FOF_CSA_SAT_RFO
v7.4.0,769,2,0.0769230769230769,FOF_CSA_SAT_RFO
v7.5.0,771,2,0.0769230769230769,FOF_CSA_SAT_RFO
v8.0.0,771,0,0,FOF_CSA_SAT_RFO
v8.1.0,771,0,0,FOF_CSA_SAT_RFO
v8.2.0,772,1,0.0384615384615385,FOF_CSA_SAT_RFO
v6.3.0,6086,0,0,FOF_THM_RFO
v6.4.0,6134,48,0.161073825503356,FOF_THM_RFO
v7.0.0,6234,100,0.335570469798658,FOF_THM_RFO
v7.1.0,6241,7,0.023489932885906,FOF_THM_RFO
v7.2.0,6244,3,0.0100671140939597,FOF_THM_RFO
v7.3.0,6268,24,0.0805369127516778,FOF_THM_RFO
v7.4.0,6316,48,0.161073825503356,FOF_THM_RFO
v7.5.0,6343,27,0.0906040268456376,FOF_THM_RFO
v8.0.0,6343,0,0,FOF_THM_RFO
v8.1.0,6359,16,0.0536912751677852,FOF_THM_RFO
v8.2.0,6384,25,0.0838926174496644,FOF_THM_RFO
v6.3.0,107,0,0,TF0_CSA_SAT_NAR
v6.4.0,109,2,1,TF0_CSA_SAT_NAR
v7.0.0,109,0,0,TF0_CSA_SAT_NAR
v7.1.0,109,0,0,TF0_CSA_SAT_NAR
v7.2.0,109,0,0,TF0_CSA_SAT_NAR
v7.3.0,109,0,0,TF0_CSA_SAT_NAR
