Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Vampire-SAT---4.0-6.3.0,6.3.0,9.0438,92.939,717,0,7
Paradox---4.0-6.3.0,6.3.0,7.21014,88.13489,641,0,2
Mace4---1109a-6.3.0,6.3.0,4.58886,56.44398,483,0,2
Nitpick---2015-6.3.0,6.3.0,4.47474,52.23332,534,0,1
DarwinFM---1.4.5-6.3.0,6.3.0,4.28025,49.94047,557,0,0
CVC4-SAT---1.5pre-6.3.0,6.3.0,4.16247,47.60032,547,0,0
iProver-SAT---2.0-6.3.0,6.3.0,3.60746,41.50278,522,0,0
VampireZ3---1.0-6.3.0,6.3.0,3.75355,36.02058,464,0,0
Vampire---4.0-6.3.0,6.3.0,4.06183,34.78457,441,0,0
Geo-III---2015E-6.3.0,6.3.0,2.72771,30.70001,393,0,0
SPASS---3.7-6.3.0,6.3.0,2.28359,25.95202,340,0,0
E---1.9.1-6.3.0,6.3.0,2.24045,25.594,354,0,0
E-SAT---1.9.1-6.3.0,6.3.0,2.24045,25.594,354,0,0
iProver---2.0-6.3.0,6.3.0,2.15669,24.61789,386,0,0
DCTP---1.31-6.3.0,6.3.0,1.66121,19.36282,330,0,0
Beagle---0.9.32-6.3.0,6.3.0,1.70181,19.21965,278,0,0
E-Darwin---1.5-6.3.0,6.3.0,1.54637,18.33098,312,0,0
iProver-Eq---0.85-6.3.0,6.3.0,1.49152,17.27449,306,0,0
Darwin---1.4.5-6.3.0,6.3.0,1.24311,14.47139,261,0,0
FDP---0.9.16-6.3.0,6.3.0,1.11957,13.14485,229,0,0
Metis---2.3-6.3.0,6.3.0,1.03551,12.08698,236,0,0
ET---0.2-6.3.0,6.3.0,0.89681,9.55886,159,0,0
Equinox---5.0-6.3.0,6.3.0,0.70882,8.28161,145,0,0
Vampire-SAT---4.0.5-6.4.0,6.4.0,9.78477,4.5,756,0,4
Bliksem---1.12-6.3.0,6.3.0,0.32201,3.71992,81,0,0
CVC4-SAT---1.5.2-7.1.0,7.1.0,4.48013,1,558,0,1
CiME---2.01-6.3.0,6.3.0,0.05415,0.62681,10,0,0
SnakeForV---1.0-8.2.0,8.2.0,7.10376,0.5,610,0,0
E-SAT---2.4-7.3.0,7.3.0,2.68177,0.5,412,0,0
Paradox---3.0-6.4.0,6.4.0,7.28979,0.5,643,0,0
E---2.4-7.3.0,7.3.0,2.65278,0.5,410,0,0
SnakeForV-SAT---1.0-8.2.0,8.2.0,8.7886,0.5,697,0,0
Waldmeister---710-6.3.0,6.3.0,0.03889,0.43762,8,0,0
LEO-II---1.6.2-6.3.0,6.3.0,0.03325,0.38453,9,0,0
CVC4---1.5pre-6.3.0,6.3.0,0.00356,0.04167,1,0,0
CSE-F---1.0-8.2.0,8.2.0,0,0,0,0,0
PEPR---0.0ps-7.3.0,7.3.0,0,0,0,0,0
E-Darwin---1.5-7.0.0,7.0.0,1.54637,0,312,0,0
LEO-II---1.7.0-7.1.0,7.1.0,0.03325,0,9,0,0
S-SETHEO---0.0-6.3.0,6.3.0,0,0,0,0,0
Infinox---1.0-6.3.0,6.3.0,0,0,0,0,0
E-SAT---2.1-7.1.0,7.1.0,2.31284,0,363,0,0
SPASS---3.9-8.0.0,8.0.0,2.29708,0,342,0,0
Zenon---0.7.1-8.1.0,8.1.0,0,0,0,0,0
Mace4---1109a-7.0.0,7.0.0,4.58886,0,483,0,0
Princess---150706-6.4.0,6.4.0,0,0,0,0,0
GrAnDe---1.1-7.4.0,7.4.0,0,0,0,0,0
LEO-II---1.7.0-7.5.0,7.5.0,0.03325,0,9,0,0
Refute---2015-7.5.0,7.5.0,0,0,0,0,0
SPASS---3.7-6.4.0,6.4.0,2.28359,0,340,0,0
ePrincess---1.0-7.0.0,7.0.0,0,0,0,0,0
iProver-Eq---0.85-7.0.0,7.0.0,1.49152,0,306,0,0
SInE---0.4-7.3.0,7.3.0,0,0,0,0,0
Isabelle-HOT---2016-7.5.0,7.5.0,0,0,0,0,0
SInE---0.4-8.2.0,8.2.0,0,0,0,0,0
iProver---3.5-8.0.0,8.0.0,3.36309,0,505,0,0
MaedMax---1.3-8.0.0,8.0.0,0.15824,0,25,0,0
Z3---4.8.9.0-8.1.0,8.1.0,1.14914,0,241,0,0
Enigma---0.5.1-7.5.0,7.5.0,0,0,0,0,0
E-Darwin---1.5-7.2.0,7.2.0,1.54637,0,312,0,0
Scavenger---EP-0.1-8.1.0,8.1.0,0,0,0,0,0
iProver---2.6-7.0.0,7.0.0,2.08593,0,374,0,0
Faust---1.0-7.1.0,7.1.0,0,0,0,0,0
Metis---2.4-8.2.0,8.2.0,1.03001,0,235,0,0
Zipperpin-TFF---0.4-7.0.0,7.0.0,0,0,0,0,0
S-SETHEO---0.0-8.2.0,8.2.0,0,0,0,0,0
ZenonModulo---0.4.1-6.3.0,6.3.0,0,0,0,0,0
Infinox---1.0-6.4.0,6.4.0,0,0,0,0,0
Satallax---2.8-6.4.0,6.4.0,0,0,0,0,0
ZenonModulo---0.4.2-8.1.0,8.1.0,0,0,0,0,0
Bliksem---1.12-7.5.0,7.5.0,0.32201,0,81,0,0
Crossbow---0.1-8.1.0,8.1.0,0,0,0,0,0
Darwin---1.4.5-7.3.0,7.3.0,1.24311,0,261,0,0
PEPR---0.0ps-7.0.0,7.0.0,0,0,0,0,0
E-KRHyper---1.4-7.4.0,7.4.0,0,0,0,0,0
DarwinFM---1.4.5-7.2.0,7.2.0,4.31056,0,558,0,0
SuperZenon---0.0.1-8.0.0,8.0.0,0,0,0,0,0
E---2.1-7.1.0,7.1.0,2.28386,0,361,0,0
EQP---0.9e-7.2.0,7.2.0,0,0,0,0,0
SOS---2.0-8.1.0,8.1.0,0.01493,0,1,0,0
Refute---2015-7.2.0,7.2.0,0,0,0,0,0
