Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Vampire---4.0-6.3.0,6.3.0,102.68132,1300.99395,12771.00000,0.00000,247.00000
VampireZ3---1.0-6.3.0,6.3.0,66.65402,815.80961,11588.00000,0.00000,4.00000
ET---0.2-6.3.0,6.3.0,63.62693,813.82537,10496.00000,0.00000,38.00000
Isabelle---2015-6.3.0,6.3.0,55.61679,811.61121,10591.00000,0.00000,2.00000
Isabelle-HOT---2015-6.3.0,6.3.0,54.53504,798.38747,10509.00000,0.00000,0.00000
E-SAT---1.9.1-6.3.0,6.3.0,59.86264,781.64960,10910.00000,0.00000,2.00000
E---1.9.1-6.3.0,6.3.0,59.72853,778.64936,10903.00000,0.00000,0.00000
LEO-II---1.6.2-6.3.0,6.3.0,33.72735,519.82403,6635.00000,0.00000,13.00000
CVC4---1.5pre-6.3.0,6.3.0,37.92625,488.20026,8021.00000,1.00000,23.00000
iProver---2.0-6.3.0,6.3.0,34.12485,434.12227,7738.00000,0.00000,13.00000
Beagle---0.9.32-6.3.0,6.3.0,32.30458,396.21722,7664.00000,0.00000,3.00000
Satallax---2.8-6.3.0,6.3.0,24.54587,391.41905,2161.00000,0.00000,12.00000
SPASS---3.7-6.3.0,6.3.0,29.64947,387.52271,7929.00000,0.00000,2.00000
Prover9---1109a-6.3.0,6.3.0,25.75197,359.77018,6395.00000,0.00000,39.00000
Satallax_MaLeS---1.3-6.3.0,6.3.0,19.90487,347.24524,2031.00000,0.00000,13.00000
SNARK---20120808r022-6.3.0,6.3.0,26.11254,333.51259,6844.00000,0.00000,1.00000
CVC4-SAT---1.5pre-6.3.0,6.3.0,25.47705,323.74413,6634.00000,0.00000,1.00000
Nitpick---2015-6.3.0,6.3.0,25.19219,309.88029,1660.00000,0.00000,103.00000
Z3---4.4-TPTP-6.3.0,6.3.0,24.93901,297.67855,4707.00000,0.00000,11.00000
E-Darwin---1.5-6.3.0,6.3.0,21.78300,283.70925,6510.00000,0.00000,0.00000
agsyHOL---1.0-6.3.0,6.3.0,16.28178,274.04286,1731.00000,0.00000,8.00000
Darwin---1.4.5-6.3.0,6.3.0,20.26499,262.97438,5844.00000,0.00000,3.00000
iProver-Eq---0.85-6.3.0,6.3.0,19.54956,251.91944,5921.00000,0.00000,0.00000
Bliksem---1.12-6.3.0,6.3.0,17.33284,242.31106,5170.00000,0.00000,20.00000
TPS---3.120601S1b-6.3.0,6.3.0,14.41167,234.25952,1480.00000,0.00000,22.00000
Geo-III---2015E-6.3.0,6.3.0,17.79609,227.87938,4773.00000,0.00000,10.00000
Equinox---5.0-6.3.0,6.3.0,17.43680,222.66909,4955.00000,0.00000,1.00000
ZenonModulo---0.4.1-6.3.0,6.3.0,13.63873,220.74363,3206.00000,0.00000,97.00000
DCTP---1.31-6.3.0,6.3.0,17.05786,213.74698,3575.00000,0.00000,52.00000
Metis---2.3-6.3.0,6.3.0,16.34924,212.36052,5215.00000,0.00000,1.00000
Fampire---1.3-6.3.0,6.3.0,14.10006,191.83674,3781.00000,0.00000,1.00000
SRASS---0.1-6.3.0,6.3.0,13.83906,189.90431,3695.00000,0.00000,2.00000
Gandalf---c-2.6-6.3.0,6.3.0,14.15154,188.23107,3575.00000,0.00000,1.00000
SInE---0.4-6.3.0,6.3.0,13.91244,187.45631,3683.00000,0.00000,0.00000
Vampire-SAT---4.0-6.3.0,6.3.0,17.04334,184.34556,1670.00000,0.00000,18.00000
iProverMo---0.7-0.3-6.3.0,6.3.0,13.48887,177.98202,4196.00000,0.00000,0.00000
ePrincess---1.0-6.3.0,6.3.0,11.62671,160.50915,3350.00000,0.00000,2.00000
iProver-SAT---2.0-6.3.0,6.3.0,11.57108,160.20641,1463.00000,0.00000,53.00000
Paradox---4.0-6.3.0,6.3.0,12.36532,150.41331,1468.00000,0.00000,4.00000
CVC4-TFN---1.5pre-6.3.0,6.3.0,11.14497,123.44823,934.00000,0.00000,5.00000
CVC4-TFF---1.5pre-6.3.0,6.3.0,11.27288,123.17641,956.00000,0.00000,0.00000
leanCoP---2.2-6.3.0,6.3.0,8.66064,118.86641,2758.00000,0.00000,0.00000
Vampire---4.2-7.0.0,7.0.0,124.42367,118.00000,13265.00000,0.00000,114.00000
SOS---2.0-6.3.0,6.3.0,8.62194,112.85904,3170.00000,0.00000,0.00000
ZenonArith---0.1.0-6.3.0,6.3.0,12.44833,112.15255,2270.00000,0.00000,6.00000
DarwinFM---1.4.5-6.3.0,6.3.0,8.69857,101.81258,1354.00000,0.00000,0.00000
cocATP---0.2.0-6.3.0,6.3.0,6.46652,100.56667,725.00000,0.00000,3.00000
Princess---150706-6.3.0,6.3.0,9.73637,97.86850,887.00000,0.00000,0.00000
FDP---0.9.16-6.3.0,6.3.0,7.49720,96.12333,2387.00000,0.00000,0.00000
Vampire---4.0.5-6.4.0,6.4.0,123.35010,88.50000,12871.00000,18.00000,70.00000
Mace4---1109a-6.3.0,6.3.0,7.12813,86.41338,999.00000,0.00000,2.00000
Refute---2015-6.3.0,6.3.0,7.04710,85.93279,458.00000,0.00000,0.00000
Zipperpin---0.4-6.3.0,6.3.0,6.46308,85.33750,2365.00000,0.00000,0.00000
Waldmeister---710-6.3.0,6.3.0,6.12147,83.39017,740.00000,0.00000,30.00000
Muscadet---4.5-6.3.0,6.3.0,5.94418,81.06742,1672.00000,0.00000,4.00000
Zipperpin-TFF---0.4-6.4.0,6.4.0,11.75581,76.00000,590.00000,0.00000,76.00000
SPASS+T---2.2.22-6.3.0,6.3.0,7.36056,72.89651,757.00000,0.00000,0.00000
S-SETHEO---0.0-6.3.0,6.3.0,5.27335,69.62047,1768.00000,0.00000,0.00000
SuperZenon---0.0.1-6.3.0,6.3.0,4.87730,63.34603,1850.00000,0.00000,0.00000
Faust---1.0-6.3.0,6.3.0,4.70578,62.03481,1884.00000,0.00000,0.00000
Zenon---0.7.1-6.3.0,6.3.0,4.63913,60.27010,1787.00000,0.00000,0.00000
Leo-III---1.2-7.1.0,7.1.0,50.43559,59.00000,6384.00000,2.00000,48.00000
Zipperpin-TFF---0.4-6.3.0,6.3.0,5.53477,51.64816,433.00000,0.00000,5.00000
SnakeForV---1.0-8.2.0,8.2.0,157.20942,44.50000,13236.00000,33.00000,33.00000
GrAnDe---1.1-6.3.0,6.3.0,3.29043,43.31597,645.00000,0.00000,8.00000
SPASS-XDB---0.8-6.3.0,6.3.0,4.47684,43.30588,479.00000,0.00000,0.00000
Z3---4.4.1-6.4.0,6.4.0,42.17566,40.66667,8102.00000,0.00000,24.00000
SETHEO---3.3-6.3.0,6.3.0,3.03524,39.43517,1100.00000,0.00000,0.00000
Otter---3.3-6.3.0,6.3.0,2.94463,38.08923,1068.00000,0.00000,0.00000
Fiesta---2-6.3.0,6.3.0,2.25495,30.25207,633.00000,0.00000,0.00000
Vampire---4.5-7.4.0,7.4.0,148.78105,27.00000,15144.00000,2.00000,26.00000
EQP---0.9e-6.3.0,6.3.0,1.91732,25.77100,571.00000,0.00000,0.00000
Matita---1.0-6.3.0,6.3.0,1.83525,24.46794,551.00000,0.00000,0.00000
CARINE---0.734-6.3.0,6.3.0,1.86338,24.27735,745.00000,0.00000,0.00000
CiME---2.01-6.3.0,6.3.0,1.75949,23.46805,529.00000,0.00000,0.00000
Twee---2.1.5-7.2.0,7.2.0,21.48141,21.00000,4272.00000,0.00000,21.00000
Zipperpin---2.0-7.5.0,7.5.0,60.94501,21.00000,10211.00000,1.00000,20.00000
Vampire-SAT---4.0.5-6.4.0,6.4.0,21.28608,20.16667,1786.00000,0.00000,14.00000
Satallax---3.2-7.0.0,7.0.0,27.33735,15.66667,2317.00000,0.00000,15.00000
CVC4---1.5.2-7.0.0,7.0.0,40.38070,13.00000,8263.00000,0.00000,11.00000
CVC4-SAT---1.7-7.4.0,7.4.0,73.57853,13.00000,9557.00000,1.00000,13.00000
Leo-III---1.5.6-7.5.0,7.5.0,75.91447,13.00000,11026.00000,1.00000,13.00000
Princess---150706-6.4.0,6.4.0,22.74355,12.66667,4436.00000,0.00000,3.00000
Zipperpin---1.4-7.1.0,7.1.0,47.49357,12.00000,8366.00000,0.00000,1.00000
SnakeForV-SAT---1.0-8.2.0,8.2.0,89.72068,11.50000,12061.00000,0.00000,0.00000
Leo-III---1.3-7.3.0,7.3.0,68.69794,11.22548,10874.00000,1.00000,11.00000
Vampire---4.3-7.3.0,7.3.0,121.44325,10.72548,13136.00000,1.00000,10.00000
cvc5---1.0-8.0.0,8.0.0,76.01154,10.00000,11215.00000,0.00000,10.00000
Leo-III---1.4-7.4.0,7.4.0,72.92511,10.00000,10966.00000,1.00000,9.00000
Enigma---0.5.1-7.5.0,7.5.0,44.10377,9.50000,6017.00000,0.00000,9.00000
E---2.5-7.4.0,7.4.0,66.27011,9.00000,11207.00000,0.00000,0.00000
E-SAT---2.5-7.4.0,7.4.0,63.25362,9.00000,11018.00000,0.00000,0.00000
Vampire---4.5.1-7.5.0,7.5.0,148.69738,8.33333,15195.00000,1.00000,6.00000
Geo-III---2016C-7.0.0,7.0.0,16.86793,8.00000,4526.00000,0.00000,8.00000
E-SAT---2.0-7.0.0,7.0.0,56.98140,6.16667,10768.00000,0.00000,0.00000
CVC4---1.7-7.4.0,7.4.0,73.71488,6.00000,11171.00000,1.00000,6.00000
GrAnDe---1.1-7.3.0,7.3.0,4.43760,6.00000,734.00000,0.00000,6.00000
lambdaE---22.03.23-8.0.0,8.0.0,30.79368,6.00000,2178.00000,3.00000,4.00000
E-SAT---1.9.1-6.4.0,6.4.0,59.94925,6.00000,10856.00000,0.00000,1.00000
Zipperpin---2.1-8.0.0,8.0.0,61.24608,6.00000,10436.00000,0.00000,4.00000
E---2.0-7.0.0,7.0.0,58.14580,5.83333,10820.00000,0.00000,0.00000
CVC4---1.5j8-6.4.0,6.4.0,36.18950,5.50000,8024.00000,0.00000,5.00000
E-SAT---2.4-7.3.0,7.3.0,60.18742,5.22548,10888.00000,0.00000,0.00000
E---2.4-7.3.0,7.3.0,64.38393,5.22548,11102.00000,0.00000,0.00000
Lash---1.11-8.1.0,8.1.0,28.59188,5.00000,2135.00000,3.00000,5.00000
SATCoP---0.1-8.0.0,8.0.0,27.86834,5.00000,6377.00000,0.00000,5.00000
ET---2.0-7.1.0,7.1.0,28.38542,5.00000,4913.00000,0.00000,5.00000
Waldmeister---710-6.4.0,6.4.0,6.90389,5.00000,840.00000,0.00000,5.00000
iProver---3.5-7.5.0,7.5.0,64.17206,4.50000,10833.00000,0.00000,4.00000
iProver---3.0-7.3.0,7.3.0,41.40231,4.22548,9119.00000,0.00000,3.00000
E---2.6-7.5.0,7.5.0,90.36895,4.16667,13338.00000,0.00000,1.00000
CSE_E---1.1-7.4.0,7.4.0,59.02223,4.00000,9900.00000,2.00000,4.00000
Nitpick---2015-6.4.0,6.4.0,25.63139,4.00000,1669.00000,0.00000,2.00000
E-SAT---2.6-7.5.0,7.5.0,86.93875,3.66667,13074.00000,0.00000,1.00000
iProver---2.6-7.0.0,7.0.0,35.37832,3.50000,7889.00000,0.00000,2.00000
CVC4---1.9-7.5.0,7.5.0,72.74794,3.00000,11151.00000,1.00000,3.00000
Twee---2.4-8.0.0,8.0.0,22.82827,3.00000,4615.00000,0.00000,3.00000
iProver---3.5-8.1.0,8.1.0,55.15248,3.00000,10194.00000,3.00000,3.00000
Vampire---4.6.1-8.0.0,8.0.0,150.33070,3.00000,15204.00000,2.00000,3.00000
Zipperpin---1.5-7.4.0,7.4.0,40.45002,3.00000,8273.00000,0.00000,3.00000
Leo-III---1.6.6-8.0.0,8.0.0,78.20439,3.00000,11158.00000,0.00000,3.00000
cvc5-SAT---1.0-8.0.0,8.0.0,51.01032,3.00000,9003.00000,0.00000,3.00000
Mace4---1109a-6.4.0,6.4.0,8.34102,2.83333,1007.00000,1.00000,1.00000
iProver---2.5-6.4.0,6.4.0,34.74577,2.83333,7829.00000,0.00000,2.00000
E---1.9.1-6.4.0,6.4.0,60.81237,2.50000,10938.00000,0.00000,0.00000
CVC4-TFF---1.5.2-7.0.0,7.0.0,14.21977,2.50000,1064.00000,0.00000,2.00000
Twee---1.0-6.4.0,6.4.0,4.00130,2.50000,711.00000,0.00000,2.00000
CSE_E---1.2-7.5.0,7.5.0,63.55262,2.33333,10224.00000,0.00000,2.00000
CVC4---1.7-7.3.0,7.3.0,51.95730,2.22548,9215.00000,0.00000,2.00000
CVC4-SAT---1.7-7.3.0,7.3.0,40.67091,2.19100,7696.00000,0.00000,2.00000
Isabelle-HOT---2016-7.0.0,7.0.0,55.47898,2.16667,10611.00000,0.00000,0.00000
iProver-SAT---2.5-6.4.0,6.4.0,11.82625,2.16667,1474.00000,0.00000,0.00000
Isabelle---2016-7.0.0,7.0.0,56.14078,2.16667,10683.00000,0.00000,0.00000
Z3---4.8.9.0-7.4.0,7.4.0,44.64258,2.00000,8243.00000,0.00000,2.00000
iProver---2.6-7.1.0,7.1.0,36.49279,2.00000,7900.00000,1.00000,2.00000
iProver---2.7.5-7.2.0,7.2.0,37.30177,2.00000,7987.00000,1.00000,2.00000
Satallax---3.5-7.5.0,7.5.0,27.32065,2.00000,2309.00000,0.00000,2.00000
Etableau---0.67-8.0.0,8.0.0,44.51037,2.00000,9412.00000,0.00000,2.00000
Paradox---3.0-6.4.0,6.4.0,16.38581,2.00000,2790.00000,0.00000,1.00000
CSE_E---1.4-8.2.0,8.2.0,61.78222,2.00000,10085.00000,2.00000,2.00000
Twee---2.4-8.1.0,8.1.0,25.05036,2.00000,4682.00000,0.00000,2.00000
Vampire-SAT---4.2-7.0.0,7.0.0,20.57086,2.00000,1769.00000,0.00000,1.00000
CVC4---1.5.2-7.1.0,7.1.0,53.52819,2.00000,9288.00000,0.00000,2.00000
Princess---170717-7.1.0,7.1.0,23.43099,2.00000,4503.00000,0.00000,2.00000
iProver-SAT---3.0-7.3.0,7.3.0,40.75820,1.72548,8788.00000,0.00000,1.00000
Beagle---0.9.47-7.0.0,7.0.0,31.01579,1.50000,7562.00000,0.00000,1.00000
iProver-SAT---3.5-7.5.0,7.5.0,54.35602,1.50000,10170.00000,1.00000,1.00000
Vampire-SAT---4.3-7.3.0,7.3.0,64.32541,1.22548,10383.00000,0.00000,1.00000
CSE_E---1.0-7.3.0,7.3.0,54.19231,1.22548,9870.00000,0.00000,1.00000
CSE---1.4-8.0.0,8.0.0,15.63291,1.00000,4653.00000,0.00000,1.00000
Z3---4.8.9.0-8.2.0,8.2.0,45.61107,1.00000,8245.00000,1.00000,1.00000
Paradox---4.0-7.1.0,7.1.0,17.74397,1.00000,2899.00000,0.00000,1.00000
Twee---2.4.1-8.2.0,8.2.0,24.62022,1.00000,4620.00000,1.00000,1.00000
CSE_E---1.3-8.0.0,8.0.0,63.93004,1.00000,10224.00000,1.00000,1.00000
Twee---2.0-7.1.0,7.1.0,4.35216,1.00000,758.00000,0.00000,1.00000
Leo-III---1.2-7.2.0,7.2.0,47.97005,1.00000,6365.00000,0.00000,1.00000
GKC---0.7-8.0.0,8.0.0,40.01894,1.00000,8432.00000,0.00000,1.00000
Vampire-SAT---4.2-7.1.0,7.1.0,61.04699,1.00000,10279.00000,0.00000,1.00000
E---2.6.X-8.1.0,8.1.0,78.30268,1.00000,12719.00000,1.00000,1.00000
cvc5---1.0-8.2.0,8.2.0,75.77334,1.00000,11239.00000,1.00000,1.00000
Vampire---4.6.1-8.1.0,8.1.0,148.90713,1.00000,15278.00000,1.00000,1.00000
CVC4-SAT---1.5.2-7.1.0,7.1.0,37.15275,1.00000,7485.00000,0.00000,1.00000
SOS---2.0-8.1.0,8.1.0,9.08096,1.00000,3113.00000,0.00000,1.00000
SATCoP---0.1-8.1.0,8.1.0,28.66222,1.00000,6423.00000,0.00000,1.00000
Vampire-SAT---4.5.1-7.5.0,7.5.0,63.59896,1.00000,10467.00000,1.00000,1.00000
Vampire-SAT---4.5-7.4.0,7.4.0,62.51307,1.00000,10482.00000,0.00000,1.00000
cvc5-SAT---1.0-8.2.0,8.2.0,57.48275,1.00000,8874.00000,1.00000,1.00000
Crossbow---0.1-7.4.0,7.4.0,5.03896,1.00000,595.00000,0.00000,1.00000
Prover9---1109a-8.1.0,8.1.0,26.07408,1.00000,6112.00000,0.00000,1.00000
GKC---0.5.1-7.5.0,7.5.0,36.17161,1.00000,8110.00000,0.00000,1.00000
Zipperpin---2.1.999-8.2.0,8.2.0,62.38076,1.00000,10438.00000,1.00000,1.00000
LEO-II---1.7.0-7.0.0,7.0.0,33.92140,1.00000,6668.00000,0.00000,1.00000
iProver-SAT---2.6-7.0.0,7.0.0,12.58277,0.50000,1522.00000,0.00000,0.00000
E---3.0-8.2.0,8.2.0,85.70660,0.50000,13025.00000,0.00000,0.00000
E-SAT---3.0-8.2.0,8.2.0,85.80330,0.50000,13025.00000,0.00000,0.00000
Refute---2015-6.4.0,6.4.0,7.16338,0.50000,463.00000,0.00000,0.00000
SPASS+T---2.2.22-6.4.0,6.4.0,8.05028,0.50000,805.00000,0.00000,0.00000
CVC4-TFN---1.5j8-6.4.0,6.4.0,11.19844,0.33333,939.00000,0.00000,0.00000
CVC4-TFF---1.5j8-6.4.0,6.4.0,11.34503,0.33333,963.00000,0.00000,0.00000
Zipperpin---1.4-7.3.0,7.3.0,47.27270,0.22548,8380.00000,0.00000,0.00000
