Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Paradox---4.0,84.45221,769.00000,8.00000
Vampire-SAT---4.7,79.47749,839.00000,0.00000
SnakeForV-SAT---1.0,72.48977,815.00000,0.00000
SnakeForV---1.0,53.85094,704.00000,0.00000
Mace4---1109a,47.62442,507.00000,1.00000
DarwinFM---1.4.5,46.64468,664.00000,0.00000
iProver-SAT---3.7,46.43388,695.00000,0.00000
cvc5-SAT---1.0,46.04000,635.00000,0.00000
Nitpick---2016,44.09908,583.00000,0.00000
iProver---3.7,35.54009,601.00000,0.00000
Vampire---4.7,27.91279,491.00000,0.00000
Geo-III---2018C,27.04790,429.00000,0.00000
E---3.0,27.02152,493.00000,0.00000
E-SAT---3.0,27.02152,493.00000,0.00000
Etableau---0.67,24.40539,420.00000,0.00000
SPASS---3.9,24.28284,428.00000,0.00000
Beagle---0.9.47,21.06406,388.00000,0.00000
E-Darwin---1.5,17.99420,382.00000,0.00000
Equinox---6.0.1a,17.54264,344.00000,1.00000
DCTP---1.31,15.45478,330.00000,0.00000
Metis---2.4,14.51320,323.00000,0.00000
iProver-Eq---0.85,13.94555,306.00000,0.00000
Darwin---1.4.5,11.72935,262.00000,0.00000
Z3---4.8.9.0,11.18491,250.00000,0.00000
Drodi---3.5.1,10.81114,243.00000,0.00000
FDP---0.9.16,10.54132,229.00000,0.00000
Twee---2.4.1,10.46762,199.00000,0.00000
Bliksem---1.12,7.95682,170.00000,0.00000
PyRes---1.3,5.70735,146.00000,0.00000
MaedMax---1.4,2.82628,51.00000,0.00000
CiME---2.01,2.01629,41.00000,0.00000
Toma---0.2,1.70369,34.00000,0.00000
RPx---1.0,1.69315,43.00000,0.00000
LEO-II---1.7.0,0.35752,10.00000,0.00000
SOS---2.0,0.11111,1.00000,0.00000
cvc5---1.0,0.03448,1.00000,0.00000
Leo-III---1.7.7,0.00000,0.00000,0.00000
JavaRes---1.3.0,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Faust---1.0,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
Moca---0.1,0.00000,0.00000,0.00000
Otter---3.3,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
Isabelle---2016,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
CSE---1.5,0.00000,0.00000,0.00000
CSE_E---1.4,0.00000,0.00000,0.00000
Princess---230526,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Prover9---1109a,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
Zipperpin---2.1.999,0.00000,0.00000,0.00000
SATCoP---0.1,0.00000,0.00000,0.00000
Satallax---3.5,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
Lash---1.12,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
Goeland---1.0.0,0.00000,0.00000,0.00000
lazyCoP---0.1,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
SNARK---20120808r022,0.00000,0.00000,0.00000
Scavenger---EP-0.2,0.00000,0.00000,0.00000
Leo-III---1.7.0,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
Enigma---0.5.1,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
CSE-F---1.0,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
GKC---0.7,0.00000,0.00000,0.00000
ZenonModulo---0.4.2,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
nanoCoP---2.0,0.00000,0.00000,0.00000
Isabelle-HOT---2016,0.00000,0.00000,0.00000
iProverMo---2.5-0.1,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
