Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.5.1,265.21352,3687.00000,35.00000
CSE_E---1.2,244.10121,3717.00000,12.00000
E---2.6,234.10572,3721.00000,1.00000
E-SAT---2.6,232.49461,3718.00000,0.00000
iProver---3.5,160.67677,3264.00000,4.00000
Leo-III---1.5.6,159.14597,3283.00000,0.00000
CVC4---1.9,143.93099,2864.00000,4.00000
Isabelle---2016,139.79125,3117.00000,0.00000
Isabelle-HOT---2016,137.14367,3086.00000,0.00000
GKC---0.5.1,130.04130,2888.00000,3.00000
iProver-SAT---3.5,128.18934,3008.00000,0.00000
DCTP---1.31,123.36381,2132.00000,47.00000
Prover9---1109a,122.53756,2626.00000,7.00000
Zipperpin---2.0,120.56800,2890.00000,1.00000
Vampire-SAT---4.5.1,106.19767,2705.00000,0.00000
SPASS---3.9,104.05613,2648.00000,1.00000
Gandalf---c-2.6,103.17165,2498.00000,0.00000
Drodi---3.1,95.56936,2539.00000,0.00000
Z3---4.8.9.0,91.76642,2087.00000,2.00000
SNARK---20120808r022,81.73727,2244.00000,0.00000
Beagle---0.9.47,81.02446,2301.00000,0.00000
CVC4-SAT---1.9,68.63799,1883.00000,0.00000
E-Darwin---1.5,68.60541,2010.00000,0.00000
Bliksem---1.12,65.67251,1892.00000,0.00000
CSE---1.3,63.75311,1880.00000,0.00000
Darwin---1.4.5,63.58978,1795.00000,3.00000
Twee---2.3.1,62.93346,1439.00000,4.00000
Equinox---6.0.1a,60.26473,1733.00000,0.00000
Geo-III---2018C,51.58951,1391.00000,1.00000
iProver-Eq---0.85,49.38330,1555.00000,0.00000
LEO-II---1.7.0,47.98667,1400.00000,0.00000
Metis---2.4,45.24784,1413.00000,0.00000
SOS---2.0,44.98290,1414.00000,0.00000
FDP---0.9.16,39.69932,1341.00000,0.00000
iProverMo---2.5-0.1,39.40428,1187.00000,0.00000
S-SETHEO---0.0,39.36941,1255.00000,0.00000
PyRes---1.3,30.39133,1079.00000,0.00000
SETHEO---3.3,22.23665,753.00000,0.00000
Otter---3.3,21.58347,732.00000,0.00000
Faust---1.0,21.40160,778.00000,0.00000
ZenonModulo---0.4.2,19.89964,688.00000,0.00000
CARINE---0.734,11.79761,452.00000,0.00000
RPx---0.1,11.52426,439.00000,0.00000
Moca---0.1,8.18007,317.00000,0.00000
Scavenger---EP-0.2,0.03846,1.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
Princess---170717,0.00000,0.00000,0.00000
Paradox---4.0,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
lazyCoP---0.1,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
DarwinFM---1.4.5,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
Etableau---0.2,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Satallax---3.5,0.00000,0.00000,0.00000
nanoCoP---1.1,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
MaedMax---1.3,0.00000,0.00000,0.00000
Enigma---0.5.1,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
