Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
SnakeForV---1.0-8.2.0,8.2.0,68.16952,37,3715,26,26
SnakeForV-SAT---1.0-8.2.0,8.2.0,32.39003,11,3365,0,0
Vampire---4.2-7.0.0,7.0.0,30.75688,33.66667,3702,0,33
Vampire---4.2-7.1.0,7.1.0,30.75688,0,3702,0,0
Vampire---4.2-7.2.0,7.2.0,30.75688,0,3702,0,0
Vampire---4.3-7.3.0,7.3.0,29.59068,2.15254,3677,0,2
Vampire---4.5-7.4.0,7.4.0,27.37337,1,3625,0,1
Vampire---4.6.1-8.0.0,8.0.0,27.27778,0,3627,0,0
Vampire---4.5.1-7.5.0,7.5.0,27.20451,0,3629,0,0
Vampire---4.6.1-8.1.0,8.1.0,26.82067,0,3614,0,0
Vampire---4.0.5-6.4.0,6.4.0,26.56104,18.5,3589,1,18
CSE_E---1.2-7.5.0,7.5.0,26.44993,2.33333,3657,0,2
E---2.6-7.5.0,7.5.0,25.63152,0.33333,3660,0,0
E-SAT---2.6-7.5.0,7.5.0,25.45086,0.33333,3657,0,0
CSE_E---1.3-8.0.0,8.0.0,25.2671,0,3645,0,0
CSE_E---1.3-8.1.0,8.1.0,25.06995,0,3639,0,0
Vampire---4.7-8.2.0,8.2.0,24.69607,0,3575,0,0
E-SAT---2.5-7.4.0,7.4.0,24.35037,5,3631,0,0
E---2.5-7.4.0,7.4.0,24.27822,5,3629,0,0
CSE_E---1.1-7.4.0,7.4.0,23.29561,2,3553,1,2
E---2.4-7.3.0,7.3.0,22.96997,2.15254,3592,0,0
E-SAT---2.4-7.3.0,7.3.0,22.96549,2.15254,3591,0,0
Vampire---4.0-6.3.0,6.3.0,22.67928,294.20552,3527,0,33
CSE_E---1.4-8.2.0,8.2.0,22.3119,1,3490,1,1
E-SAT---2.0-7.0.0,7.0.0,21.89421,2.16667,3557,0,0
E-SAT---2.1-7.1.0,7.1.0,21.84158,0,3556,0,0
E-SAT---2.1-7.2.0,7.2.0,21.84158,0,3556,0,0
E---2.0-7.0.0,7.0.0,21.83032,2.16667,3555,0,0
E---2.1-7.1.0,7.1.0,21.78685,0,3554,0,0
E---2.1-7.2.0,7.2.0,21.78685,0,3554,0,0
CSE_E---1.0-7.3.0,7.3.0,21.55187,1.15254,3551,0,1
E-SAT---3.0-8.2.0,8.2.0,21.36302,0,3479,0,0
E---3.0-8.2.0,8.2.0,21.26355,0,3476,0,0
E-SAT---1.9.1-6.4.0,6.4.0,21.22019,2,3538,0,0
E---1.9.1-6.4.0,6.4.0,21.2063,2,3537,0,0
E-SAT---1.9.1-6.3.0,6.3.0,21.00558,270.92059,3533,0,2
E---1.9.1-6.3.0,6.3.0,20.92312,268.77774,3530,0,0
E---2.6.X-8.0.0,8.0.0,20.73767,0,3465,0,0
E-SAT---2.6.X-8.0.0,8.0.0,20.71969,0,3463,0,0
ET---0.2-6.3.0,6.3.0,20.70843,266.52093,3515,0,5
ET---0.2-6.4.0,6.4.0,20.70843,0,3515,0,0
ET---0.2-7.0.0,7.0.0,20.70843,0,3515,0,0
E---2.6.X-8.1.0,8.1.0,20.58931,0,3460,0,0
E-SAT---2.6.X-8.1.0,8.1.0,20.58576,0,3459,0,0
Leo-III---1.7.7-8.2.0,8.2.0,17.89932,0,3308,0,0
Leo-III---1.6.6-8.1.0,8.1.0,17.82838,0,3309,0,0
Leo-III---1.6.6-8.0.0,8.0.0,17.53653,0,3292,0,0
VampireZ3---1.0-6.3.0,6.3.0,16.86127,219.18355,3298,0,1
Leo-III---1.7.0-8.2.0,8.2.0,16.85309,0,3249,0,0
iProver---3.5-7.5.0,7.5.0,16.81045,1,3204,0,1
iProver---3.5-8.0.0,8.0.0,16.81045,0,3204,0,0
Leo-III---1.4-7.4.0,7.4.0,16.22514,0,3213,0,0
Leo-III---1.5.6-7.5.0,7.5.0,16.19052,0,3226,0,0
Etableau---0.67-8.0.0,8.0.0,16.01148,2,3088,0,2
Etableau---0.67-8.1.0,8.1.0,16.00888,0,3090,0,0
Etableau---0.67-8.2.0,8.2.0,16.00888,0,3090,0,0
cvc5---1.0-8.0.0,8.0.0,15.74773,3,2794,0,3
cvc5---1.0-8.1.0,8.1.0,15.73662,0,2793,0,0
CVC4---1.9-7.5.0,7.5.0,15.35599,1,2811,1,1
cvc5---1.0-8.2.0,8.2.0,15.32695,1,2787,1,1
Leo-III---1.3-7.3.0,7.3.0,15.18974,0.15254,3148,0,0
CVC4---1.5pre-6.3.0,6.3.0,14.55441,179.02549,2725,1,6
CVC4---1.7-7.4.0,7.4.0,14.45556,0,2806,0,0
iProver---3.7-8.2.0,8.2.0,14.38487,0,3078,0,0
GKC---0.7-8.0.0,8.0.0,14.2167,0,2928,0,0
CVC4---1.7-7.3.0,7.3.0,14.16485,1.15254,2769,0,1
CVC4---1.5.2-7.0.0,7.0.0,14.1511,2,2777,0,2
GKC---0.7-8.1.0,8.1.0,14.14731,0,2940,0,0
GKC---0.7-8.2.0,8.2.0,14.14731,0,2940,0,0
CVC4---1.5.2-7.1.0,7.1.0,13.97849,0,2765,0,0
CVC4---1.5.2-7.2.0,7.2.0,13.97849,0,2765,0,0
Isabelle---2016-7.3.0,7.3.0,13.92376,0.15254,3061,0,0
Isabelle---2016-7.4.0,7.4.0,13.92376,0,3061,0,0
Isabelle---2016-7.5.0,7.5.0,13.92376,0,3061,0,0
Isabelle---2016-8.0.0,8.0.0,13.92376,0,3061,0,0
Isabelle---2016-8.1.0,8.1.0,13.92376,0,3061,0,0
Isabelle---2016-8.2.0,8.2.0,13.92376,0,3061,0,0
Isabelle---2016-7.0.0,7.0.0,13.90195,0,3057,0,0
Isabelle---2016-7.1.0,7.1.0,13.90195,0,3057,0,0
Isabelle---2016-7.2.0,7.2.0,13.90195,0,3057,0,0
Isabelle---2015-6.3.0,6.3.0,13.8479,183.84721,3047,0,0
Zipperpin---2.1-8.1.0,8.1.0,13.82982,0,3011,0,0
Isabelle---2015-6.4.0,6.4.0,13.81488,0,3043,0,0
Zipperpin---2.1.999-8.2.0,8.2.0,13.80427,0,3007,0,0
iProver---3.5-8.1.0,8.1.0,13.79924,0,3024,0,0
Isabelle-HOT---2016-7.3.0,7.3.0,13.65211,0.15254,3030,0,0
Isabelle-HOT---2016-7.4.0,7.4.0,13.65211,0,3030,0,0
Isabelle-HOT---2016-7.5.0,7.5.0,13.65211,0,3030,0,0
Isabelle-HOT---2016-8.0.0,8.0.0,13.65211,0,3030,0,0
Isabelle-HOT---2016-8.1.0,8.1.0,13.65211,0,3030,0,0
Isabelle-HOT---2016-8.2.0,8.2.0,13.65211,0,3030,0,0
Isabelle-HOT---2016-7.0.0,7.0.0,13.63602,0,3028,0,0
Isabelle-HOT---2016-7.1.0,7.1.0,13.6303,0,3026,0,0
Isabelle-HOT---2016-7.2.0,7.2.0,13.6303,0,3026,0,0
Zipperpin---2.1-8.0.0,8.0.0,13.62332,0,2995,0,0
Isabelle-HOT---2015-6.4.0,6.4.0,13.59136,0,3018,0,0
Isabelle-HOT---2015-6.3.0,6.3.0,13.56135,180.05642,3010,0,0
CVC4---1.5j8-6.4.0,6.4.0,13.46291,0.5,2746,0,0
Drodi---3.5.1-8.2.0,8.2.0,13.44427,0,2939,0,0
GKC---0.5.1-7.5.0,7.5.0,13.44081,1,2834,0,1
iProver-SAT---3.5-7.5.0,7.5.0,13.07082,0,2952,0,0
Prover9---1109a-8.1.0,8.1.0,13.00805,0,2704,0,0
Prover9---1109a-8.2.0,8.2.0,13.00805,0,2704,0,0
Zipperpin---2.0-7.5.0,7.5.0,12.53004,1,2834,0,1
Prover9---1109a-7.3.0,7.3.0,12.24485,0.15254,2588,0,0
Prover9---1109a-7.4.0,7.4.0,12.24485,0,2588,0,0
Prover9---1109a-7.5.0,7.5.0,12.24485,0,2588,0,0
Prover9---1109a-8.0.0,8.0.0,12.24485,0,2588,0,0
Prover9---1109a-7.1.0,7.1.0,12.22304,0,2584,0,0
Prover9---1109a-7.2.0,7.2.0,12.22304,0,2584,0,0
Prover9---1109a-6.3.0,6.3.0,12.20104,170.23577,2578,0,27
Prover9---1109a-6.4.0,6.4.0,12.20104,0,2578,0,0
Prover9---1109a-7.0.0,7.0.0,12.20104,0,2578,0,0
GKC---0.4-7.4.0,7.4.0,12.04261,0,2741,0,0
Vampire-SAT---4.3-7.3.0,7.3.0,11.97835,0.15254,2777,0,0
DCTP---1.31-6.3.0,6.3.0,11.8831,149.63769,2132,0,52
DCTP---1.31-6.4.0,6.4.0,11.8831,0,2132,0,0
DCTP---1.31-7.0.0,7.0.0,11.8831,0,2132,0,0
DCTP---1.31-7.1.0,7.1.0,11.8831,0,2132,0,0
DCTP---1.31-7.2.0,7.2.0,11.8831,0,2132,0,0
DCTP---1.31-7.3.0,7.3.0,11.8831,0,2132,0,0
DCTP---1.31-7.4.0,7.4.0,11.8831,0,2132,0,0
DCTP---1.31-7.5.0,7.5.0,11.8831,0,2132,0,0
DCTP---1.31-8.0.0,8.0.0,11.8831,0,2132,0,0
DCTP---1.31-8.1.0,8.1.0,11.8831,0,2132,0,0
DCTP---1.31-8.2.0,8.2.0,11.8831,0,2132,0,0
iProver---3.0-7.3.0,7.3.0,11.48523,0.15254,2743,0,0
iProver---3.0-7.4.0,7.4.0,11.48523,0,2743,0,0
SATCoP---0.1-8.1.0,8.1.0,11.12654,1,2228,0,1
SATCoP---0.1-8.2.0,8.2.0,11.12654,0,2228,0,0
Vampire-SAT---4.6.1-8.0.0,8.0.0,10.72594,0,2659,0,0
Vampire-SAT---4.5-7.4.0,7.4.0,10.70719,0,2660,0,0
Vampire-SAT---4.5.1-7.5.0,7.5.0,10.6581,0,2652,0,0
Drodi---3.3.3-8.1.0,8.1.0,10.65215,0,2607,0,0
SPASS---3.7-6.3.0,6.3.0,10.62895,140.30314,2647,0,1
SPASS---3.7-6.4.0,6.4.0,10.57956,0,2631,0,0
Gandalf---c-2.6-6.3.0,6.3.0,10.56723,139.74441,2509,0,0
Gandalf---c-2.6-6.4.0,6.4.0,10.56723,0,2509,0,0
Gandalf---c-2.6-7.0.0,7.0.0,10.56723,0,2509,0,0
Gandalf---c-2.6-7.1.0,7.1.0,10.56723,0,2509,0,0
Gandalf---c-2.6-7.2.0,7.2.0,10.56723,0,2509,0,0
SATCoP---0.1-8.0.0,8.0.0,10.55368,4,2214,0,4
Vampire-SAT---4.7-8.2.0,8.2.0,10.5529,0,2657,0,0
Gandalf---c-2.6-7.3.0,7.3.0,10.53272,0,2498,0,0
Gandalf---c-2.6-7.4.0,7.4.0,10.53272,0,2498,0,0
Gandalf---c-2.6-7.5.0,7.5.0,10.53272,0,2498,0,0
Gandalf---c-2.6-8.0.0,8.0.0,10.53272,0,2498,0,0
Gandalf---c-2.6-8.1.0,8.1.0,10.53272,0,2498,0,0
Gandalf---c-2.6-8.2.0,8.2.0,10.53272,0,2498,0,0
SPASS---3.9-8.1.0,8.1.0,10.35614,0,2605,0,0
SPASS---3.9-8.2.0,8.2.0,10.35614,0,2605,0,0
SPASS---3.9-7.3.0,7.3.0,10.2849,0.15254,2592,0,0
SPASS---3.9-7.4.0,7.4.0,10.2849,0,2592,0,0
SPASS---3.9-7.5.0,7.5.0,10.2849,0,2592,0,0
SPASS---3.9-8.0.0,8.0.0,10.2849,0,2592,0,0
SPASS---3.9-7.0.0,7.0.0,10.26308,0,2588,0,0
SPASS---3.9-7.1.0,7.1.0,10.26308,0,2588,0,0
SPASS---3.9-7.2.0,7.2.0,10.26308,0,2588,0,0
Vampire-SAT---4.2-7.1.0,7.1.0,9.9849,0,2529,0,0
Vampire-SAT---4.2-7.2.0,7.2.0,9.9849,0,2529,0,0
Drodi---3.1.5-8.0.0,8.0.0,9.92034,0,2505,0,0
Vampire-SAT---4.6.1-8.1.0,8.1.0,9.72592,0,2520,0,0
iProver-SAT---3.0-7.3.0,7.3.0,9.61702,0.15254,2492,0,0
iProver-SAT---3.0-7.4.0,7.4.0,9.61702,0,2492,0,0
Drodi---3.1-7.5.0,7.5.0,9.61409,0,2484,0,0
Z3---4.8.9.0-8.2.0,8.2.0,9.21833,0,2039,0,0
Z3---4.8.9.0-7.4.0,7.4.0,9.21502,0,2038,0,0
Z3---4.8.9.0-7.5.0,7.5.0,9.21502,0,2038,0,0
Z3---4.8.9.0-8.0.0,8.0.0,9.21502,0,2038,0,0
Z3---4.8.9.0-8.1.0,8.1.0,9.21346,0,2038,0,0
Twee---2.4.1-8.2.0,8.2.0,9.03758,1,1624,1,1
Twee---2.4-8.1.0,8.1.0,9.00838,0,1659,0,0
Z3---4.4.1-7.3.0,7.3.0,9.00097,0.15254,2044,0,0
Z3---4.4.1-6.4.0,6.4.0,8.97915,2,2040,0,2
Z3---4.4.1-7.0.0,7.0.0,8.97915,0,2040,0,0
Z3---4.4.1-7.1.0,7.1.0,8.97915,0,2040,0,0
Z3---4.4.1-7.2.0,7.2.0,8.97915,0,2040,0,0
Twee---2.2-7.4.0,7.4.0,8.62371,0,1453,0,0
iProver---2.6-7.1.0,7.1.0,8.54879,0,2264,0,0
