Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Waldmeister---710,76.21063,882.00000,23.00000
E---2.6,53.10364,879.00000,0.00000
E-SAT---2.6,53.10364,879.00000,0.00000
CSE_E---1.2,46.46436,844.00000,3.00000
Twee---2.3.1,43.06853,812.00000,1.00000
Prover9---1109a,40.78898,755.00000,2.00000
Vampire---4.5.1,34.48163,781.00000,0.00000
Leo-III---1.5.6,33.85910,780.00000,1.00000
Bliksem---1.12,32.39789,732.00000,0.00000
iProver---3.5,30.29859,749.00000,0.00000
iProver-SAT---3.5,25.78348,695.00000,0.00000
MaedMax---1.3,25.60106,678.00000,0.00000
Isabelle---2016,24.76400,677.00000,0.00000
Isabelle-HOT---2016,24.65962,679.00000,0.00000
Gandalf---c-2.6,24.21621,628.00000,0.00000
GKC---0.5.1,23.91740,651.00000,0.00000
Fiesta---2,23.48108,661.00000,0.00000
SNARK---20120808r022,22.51859,630.00000,0.00000
Drodi---3.1,21.60357,634.00000,0.00000
CVC4---1.9,21.06142,492.00000,0.00000
Zipperpin---2.0,20.85718,614.00000,0.00000
EQP---0.9e,20.53987,604.00000,0.00000
SPASS---3.9,20.50916,617.00000,0.00000
Metis---2.4,20.13567,585.00000,0.00000
LEO-II---1.7.0,20.12913,615.00000,0.00000
Matita---1.0,18.95662,575.00000,0.00000
CiME---2.01,17.05002,526.00000,0.00000
Beagle---0.9.47,16.08123,525.00000,0.00000
iProver-Eq---0.85,14.84212,493.00000,0.00000
Vampire-SAT---4.5.1,13.96708,460.00000,0.00000
DCTP---1.31,13.81297,472.00000,0.00000
CVC4-SAT---1.9,12.49735,301.00000,0.00000
E-Darwin---1.5,12.28044,417.00000,0.00000
Geo-III---2018C,10.75820,345.00000,0.00000
Z3---4.8.9.0,10.47408,314.00000,0.00000
Moca---0.1,8.57723,317.00000,0.00000
FDP---0.9.16,6.18059,231.00000,0.00000
Equinox---6.0.1a,5.08882,177.00000,0.00000
Darwin---1.4.5,4.80509,184.00000,0.00000
SOS---2.0,4.32521,169.00000,0.00000
Faust---1.0,3.48674,129.00000,0.00000
S-SETHEO---0.0,3.42148,118.00000,0.00000
CSE---1.3,3.38748,134.00000,0.00000
PyRes---1.3,2.61723,106.00000,0.00000
iProverMo---2.5-0.1,0.96494,37.00000,0.00000
ZenonModulo---0.4.2,0.84769,36.00000,0.00000
Otter---3.3,0.58182,13.00000,0.00000
Etableau---0.2,0.44115,7.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Satallax---3.5,0.00000,0.00000,0.00000
Enigma---0.5.1,0.00000,0.00000,0.00000
Princess---170717,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
DarwinFM---1.4.5,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
lazyCoP---0.1,0.00000,0.00000,0.00000
Paradox---4.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Scavenger---EP-0.2,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
nanoCoP---1.1,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
RPx---0.1,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
