Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Waldmeister---710-8.1.0,8.1.0,7.29577,0,837,0,0
Waldmeister---710-8.2.0,8.2.0,7.29577,0,837,0,0
Waldmeister---710-6.4.0,6.4.0,6.865,5,832,0,5
Waldmeister---710-7.0.0,7.0.0,6.865,0,832,0,0
Waldmeister---710-7.1.0,7.1.0,6.865,0,832,0,0
Waldmeister---710-7.2.0,7.2.0,6.865,0,832,0,0
Waldmeister---710-7.3.0,7.3.0,6.865,0,832,0,0
Waldmeister---710-7.4.0,7.4.0,6.865,0,832,0,0
Waldmeister---710-7.5.0,7.5.0,6.865,0,832,0,0
Waldmeister---710-8.0.0,8.0.0,6.865,0,832,0,0
Twee---2.4.1-8.2.0,8.2.0,5.87683,0,812,0,0
Twee---2.4-8.1.0,8.1.0,5.86336,0,809,0,0
Twee---2.4-8.0.0,8.0.0,5.82282,2,806,0,2
CSE_E---1.4-8.2.0,8.2.0,5.08861,1,770,1,1
E---2.6-7.5.0,7.5.0,4.65946,0.5,791,0,0
E-SAT---2.6-7.5.0,7.5.0,4.65946,0.5,791,0,0
Twee---2.1.5-7.2.0,7.2.0,4.65761,0,748,0,0
CSE_E---1.3-8.0.0,8.0.0,4.49015,0,792,0,0
Twee---2.2-7.4.0,7.4.0,4.43474,0,750,0,0
CSE_E---1.3-8.1.0,8.1.0,4.41389,0,788,0,0
E---2.5-7.4.0,7.4.0,4.35189,0.5,788,0,0
E-SAT---2.5-7.4.0,7.4.0,4.35189,0.5,788,0,0
Twee---2.0-7.1.0,7.1.0,4.30951,1,749,0,1
SnakeForV---1.0-8.2.0,8.2.0,4.22679,0,773,0,0
Twee---1.0-6.4.0,6.4.0,4.0013,2.5,711,0,2
Twee---1.0-7.0.0,7.0.0,4.0013,0,711,0,0
CSE_E---1.2-7.5.0,7.5.0,3.95766,0,771,0,0
E---2.6.X-8.0.0,8.0.0,3.95207,0,763,0,0
E-SAT---2.6.X-8.0.0,8.0.0,3.95207,0,763,0,0
E-SAT---2.6.X-8.1.0,8.1.0,3.95207,0,763,0,0
E---2.6.X-8.1.0,8.1.0,3.93389,0,762,0,0
CSE_E---1.1-7.4.0,7.4.0,3.89956,0,758,0,0
E-SAT---2.4-7.3.0,7.3.0,3.89645,0,766,0,0
E---2.0-7.0.0,7.0.0,3.89612,0.83333,768,0,0
E-SAT---2.0-7.0.0,7.0.0,3.89612,0.83333,768,0,0
E---2.1-7.1.0,7.1.0,3.89612,0,768,0,0
E-SAT---2.1-7.1.0,7.1.0,3.89612,0,768,0,0
E---2.1-7.2.0,7.2.0,3.89612,0,768,0,0
E-SAT---2.1-7.2.0,7.2.0,3.89612,0,768,0,0
Twee---2.3.1-7.5.0,7.5.0,3.86552,0,750,0,0
E---2.4-7.3.0,7.3.0,3.85645,0,765,0,0
CSE_E---1.0-7.3.0,7.3.0,3.68374,0,761,0,0
E-SAT---3.0-8.2.0,8.2.0,3.59386,0,754,0,0
E---3.0-8.2.0,8.2.0,3.56737,0,752,0,0
ET---0.2-6.4.0,6.4.0,3.55867,0,754,0,0
ET---0.2-7.0.0,7.0.0,3.55867,0,754,0,0
E---1.9.1-6.4.0,6.4.0,3.55581,0,759,0,0
E-SAT---1.9.1-6.4.0,6.4.0,3.55581,0,759,0,0
