Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.5,83.42120,1315.00000,11.00000
iProver---3.0,79.78058,1325.00000,2.00000
iProver-SAT---3.0,72.46391,1306.00000,0.00000
Vampire-SAT---4.5,61.23534,1257.00000,1.00000
Z3---4.8.9.0,51.41447,1171.00000,0.00000
Darwin---1.4.5,50.09611,1209.00000,0.00000
GrAnDe---1.1,49.58946,755.00000,14.00000
E-SAT---2.5,42.12533,1095.00000,0.00000
E---2.5,42.06978,1094.00000,0.00000
iProver-Eq---0.85,41.64691,1126.00000,0.00000
E-Darwin---1.5,39.21085,1083.00000,0.00000
CVC4-SAT---1.7,35.88450,1049.00000,0.00000
Equinox---6.0.1a,34.51872,1005.00000,0.00000
SPASS---3.9,28.67504,894.00000,0.00000
Beagle---0.9.47,27.39161,847.00000,2.00000
Metis---2.4,27.00001,862.00000,0.00000
Isabelle---2016,24.37333,787.00000,0.00000
Isabelle-HOT---2016,24.31777,786.00000,0.00000
CVC4---1.7,23.95546,784.00000,0.00000
CSE_E---1.1,23.76990,785.00000,0.00000
Geo-III---2018C,23.56132,789.00000,0.00000
Bliksem---1.12,23.55710,797.00000,0.00000
DCTP---1.31,22.17535,612.00000,0.00000
Leo-III---1.4,21.53398,746.00000,0.00000
Paradox---4.0,19.65199,359.00000,0.00000
FDP---0.9.16,18.83699,557.00000,0.00000
Zipperpin---1.5,18.80650,691.00000,0.00000
GKC---0.4,18.75842,666.00000,0.00000
PyRes---1.2,18.07548,679.00000,0.00000
iProverMo---2.5-0.1,17.98382,634.00000,0.00000
Nitpick---2016,17.57625,330.00000,0.00000
SNARK---20120808r022,17.08027,635.00000,0.00000
DarwinFM---1.4.5,16.77517,341.00000,0.00000
Prover9---1109a,16.16389,622.00000,0.00000
ZenonModulo---0.4.2,13.60142,538.00000,0.00000
CSE---1.2,13.50328,531.00000,0.00000
SOS---2.0,13.14537,545.00000,0.00000
Enigma---0.4,12.86204,424.00000,0.00000
Fampire---1.3,12.33027,413.00000,0.00000
Gandalf---c-2.6,11.70592,416.00000,0.00000
RPx---0.1,11.23712,457.00000,0.00000
Crossbow---0.1,11.08768,176.00000,0.00000
Mace4---1109a,11.02131,241.00000,0.00000
Twee---2.2,10.76278,416.00000,0.00000
Faust---1.0,10.24170,431.00000,0.00000
S-SETHEO---0.0,10.09654,374.00000,0.00000
Otter---3.3,8.62761,340.00000,0.00000
LEO-II---1.7.0,8.31602,349.00000,0.00000
SETHEO---3.3,8.16433,325.00000,0.00000
Princess---170717,7.25611,275.00000,0.00000
Zenon---0.7.1,7.18133,285.00000,0.00000
SuperZenon---0.0.1,6.98503,280.00000,0.00000
ET---2.0,6.95192,276.00000,0.00000
CARINE---0.734,6.85897,277.00000,0.00000
SInE---0.4,6.72971,275.00000,0.00000
SRASS---0.1,6.55478,267.00000,0.00000
nanoCoP---1.1,6.06743,255.00000,0.00000
leanCoP---2.2,5.35191,235.00000,0.00000
ePrincess---1.0,4.83900,220.00000,0.00000
Refute---2015,4.08629,96.00000,0.00000
Muscadet---4.5,3.44813,159.00000,0.00000
Moca---0.1,0.44671,19.00000,0.00000
Scavenger---EP-0.2,0.06250,1.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
MaedMax---1.3,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Satallax---3.4,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
