Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
iProver---3.5-8.1.0,8.1.0,11.47209,3,1320,3,3
iProver-SAT---3.5-7.5.0,7.5.0,8.56679,0.5,1321,0,0
Vampire---4.6.1-8.0.0,8.0.0,8.43351,0,1313,0,0
Vampire---4.5.1-7.5.0,7.5.0,8.40226,0,1312,0,0
iProver---3.5-7.5.0,7.5.0,8.34173,0.5,1320,0,0
iProver---3.0-7.3.0,7.3.0,8.33797,3.5,1321,0,3
iProver---3.0-7.4.0,7.4.0,8.33797,0,1321,0,0
Vampire---4.2-7.0.0,7.0.0,8.31655,4.5,1311,0,3
Vampire---4.2-7.1.0,7.1.0,8.31655,0,1311,0,0
Vampire---4.2-7.2.0,7.2.0,8.31655,0,1311,0,0
Vampire-SAT---4.3-7.3.0,7.3.0,8.31457,0,1309,0,0
Vampire---4.5-7.4.0,7.4.0,8.20226,0,1311,0,0
iProver---3.5-8.0.0,8.0.0,8.16907,0,1315,0,0
Vampire---4.6.1-8.1.0,8.1.0,8.00173,0,1306,0,0
Vampire---4.0-6.3.0,6.3.0,7.9848,110.24815,1299,0,28
iProver---2.6-7.0.0,7.0.0,7.68305,3.5,1314,0,2
iProver---2.6-7.1.0,7.1.0,7.63305,0,1313,0,0
Vampire---4.3-7.3.0,7.3.0,7.54831,0,1303,0,0
Vampire---4.0.5-6.4.0,6.4.0,7.53443,0,1298,0,0
iProver---2.7.5-7.2.0,7.2.0,7.35888,1,1303,0,1
iProver-SAT---3.0-7.3.0,7.3.0,7.2349,0.5,1302,0,0
iProver-SAT---3.0-7.4.0,7.4.0,7.2349,0,1302,0,0
Vampire---4.7-8.2.0,8.2.0,7.14448,0,1286,0,0
iProver---2.5-6.4.0,6.4.0,7.01324,1,1300,0,1
iProver-SAT---2.6-7.1.0,7.1.0,6.865,0,1293,0,0
iProver-SAT---2.6-7.2.0,7.2.0,6.865,0,1293,0,0
iProver---2.0-6.3.0,6.3.0,6.33697,81.03868,1277,0,2
SnakeForV---1.0-8.2.0,8.2.0,6.31114,1,1229,1,1
Vampire-SAT---4.6.1-8.0.0,8.0.0,6.18076,0,1264,0,0
Vampire-SAT---4.6.1-8.1.0,8.1.0,6.03291,0,1254,0,0
Vampire-SAT---4.5.1-7.5.0,7.5.0,6.00563,0,1261,0,0
Vampire-SAT---4.2-7.1.0,7.1.0,5.9349,0,1238,0,0
Vampire-SAT---4.2-7.2.0,7.2.0,5.9349,0,1238,0,0
Vampire-SAT---4.5-7.4.0,7.4.0,5.79398,0,1253,0,0
SnakeForV-SAT---1.0-8.2.0,8.2.0,5.68167,0,1246,0,0
Vampire-SAT---4.7-8.2.0,8.2.0,5.34324,0,1221,0,0
Z3---4.8.9.0-7.4.0,7.4.0,5.05785,0,1167,0,0
Z3---4.8.9.0-7.5.0,7.5.0,5.05785,0,1167,0,0
Z3---4.8.9.0-8.0.0,8.0.0,5.05785,0,1167,0,0
Z3---4.8.9.0-8.2.0,8.2.0,5.05785,0,1168,0,0
Z3---4.8.9.0-8.1.0,8.1.0,5.0548,0,1166,0,0
VampireZ3---1.0-6.3.0,6.3.0,5.03889,62.05109,1219,0,0
iProver---3.7-8.2.0,8.2.0,4.88525,0,1205,0,0
GrAnDe---1.1-8.1.0,8.1.0,4.81844,0,754,0,0
GrAnDe---1.1-8.2.0,8.2.0,4.81844,0,754,0,0
GrAnDe---1.1-7.4.0,7.4.0,4.80026,0,753,0,0
GrAnDe---1.1-7.5.0,7.5.0,4.80026,0,753,0,0
Darwin---1.4.5-8.2.0,8.2.0,4.76859,0,1206,0,0
Darwin---1.4.5-8.1.0,8.1.0,4.76553,0,1205,0,0
GrAnDe---1.1-8.0.0,8.0.0,4.74785,0,729,0,0
Darwin---1.4.5-6.3.0,6.3.0,4.74295,59.14709,1205,0,0
Darwin---1.4.5-6.4.0,6.4.0,4.74295,0,1205,0,0
Darwin---1.4.5-7.0.0,7.0.0,4.74295,0,1205,0,0
Darwin---1.4.5-7.1.0,7.1.0,4.74295,0,1205,0,0
Darwin---1.4.5-7.2.0,7.2.0,4.74295,0,1205,0,0
Darwin---1.4.5-7.3.0,7.3.0,4.74295,0,1205,0,0
Darwin---1.4.5-7.4.0,7.4.0,4.74295,0,1205,0,0
Darwin---1.4.5-7.5.0,7.5.0,4.74295,0,1205,0,0
Darwin---1.4.5-8.0.0,8.0.0,4.74295,0,1205,0,0
Z3---4.4.1-6.4.0,6.4.0,4.71364,0,1155,0,0
Z3---4.4.1-7.0.0,7.0.0,4.71364,0,1155,0,0
Z3---4.4.1-7.1.0,7.1.0,4.71364,0,1155,0,0
Z3---4.4.1-7.2.0,7.2.0,4.71364,0,1155,0,0
Z3---4.4.1-7.3.0,7.3.0,4.71364,0,1155,0,0
Paradox---4.0-8.2.0,8.2.0,4.58159,0,1118,0,0
Paradox---4.0-8.1.0,8.1.0,4.57853,0,1117,0,0
Paradox---4.0-7.1.0,7.1.0,4.508,1,1111,0,1
GrAnDe---1.1-7.3.0,7.3.0,4.36173,6,705,0,6
E---2.6-7.5.0,7.5.0,4.01072,0,1101,0,0
E-SAT---2.6-7.5.0,7.5.0,4.01072,0,1101,0,0
Paradox---3.0-6.4.0,6.4.0,3.94707,0,1094,0,0
Paradox---3.0-7.0.0,7.0.0,3.94707,0,1094,0,0
E-SAT---2.5-7.4.0,7.4.0,3.91127,2.5,1092,0,0
E---2.5-7.4.0,7.4.0,3.90562,2.5,1091,0,0
E---2.6.X-8.0.0,8.0.0,3.89858,0,1087,0,0
E-SAT---2.6.X-8.0.0,8.0.0,3.89858,0,1087,0,0
E---2.6.X-8.1.0,8.1.0,3.89552,0,1086,0,0
iProver-Eq---0.85-6.3.0,6.3.0,3.88481,48.22275,1126,0,0
iProver-Eq---0.85-6.4.0,6.4.0,3.88481,0,1126,0,0
iProver-Eq---0.85-7.0.0,7.0.0,3.88481,0,1126,0,0
iProver-Eq---0.85-7.1.0,7.1.0,3.88481,0,1126,0,0
iProver-Eq---0.85-7.2.0,7.2.0,3.88481,0,1126,0,0
iProver-Eq---0.85-7.3.0,7.3.0,3.88481,0,1126,0,0
iProver-Eq---0.85-7.4.0,7.4.0,3.88481,0,1126,0,0
iProver-Eq---0.85-7.5.0,7.5.0,3.88481,0,1126,0,0
iProver-Eq---0.85-8.0.0,8.0.0,3.88481,0,1126,0,0
E-SAT---2.6.X-8.1.0,8.1.0,3.88416,0,1085,0,0
iProver-Eq---0.85-8.1.0,8.1.0,3.88175,0,1125,0,0
iProver-Eq---0.85-8.2.0,8.2.0,3.88175,0,1125,0,0
E---3.0-8.2.0,8.2.0,3.7201,0,1072,0,0
E-SAT---3.0-8.2.0,8.2.0,3.71084,0,1071,0,0
E---2.4-7.3.0,7.3.0,3.67446,0.5,1082,0,0
E-SAT---2.4-7.3.0,7.3.0,3.67446,0.5,1082,0,0
E-Darwin---1.5-6.3.0,6.3.0,3.62949,44.59309,1079,0,0
E-Darwin---1.5-6.4.0,6.4.0,3.62949,0,1079,0,0
E-Darwin---1.5-7.0.0,7.0.0,3.62949,0,1079,0,0
E-Darwin---1.5-7.1.0,7.1.0,3.62949,0,1079,0,0
E-Darwin---1.5-7.2.0,7.2.0,3.62949,0,1079,0,0
E-Darwin---1.5-7.3.0,7.3.0,3.62949,0,1079,0,0
E-Darwin---1.5-7.4.0,7.4.0,3.62949,0,1079,0,0
E-Darwin---1.5-7.5.0,7.5.0,3.62949,0,1079,0,0
E-Darwin---1.5-8.0.0,8.0.0,3.56127,0,1060,0,0
E-Darwin---1.5-8.1.0,8.1.0,3.55821,0,1059,0,0
E-Darwin---1.5-8.2.0,8.2.0,3.55821,0,1059,0,0
E-SAT---1.9.1-6.4.0,6.4.0,3.47099,0,1067,0,0
E---2.0-7.0.0,7.0.0,3.47027,0,1067,0,0
E-SAT---2.0-7.0.0,7.0.0,3.47027,0,1067,0,0
E---2.1-7.1.0,7.1.0,3.47027,0,1067,0,0
E-SAT---2.1-7.1.0,7.1.0,3.47027,0,1067,0,0
E---2.1-7.2.0,7.2.0,3.47027,0,1067,0,0
E-SAT---2.1-7.2.0,7.2.0,3.47027,0,1067,0,0
E---1.9.1-6.4.0,6.4.0,3.46735,0,1067,0,0
CVC4-SAT---1.5pre-6.3.0,6.3.0,3.46628,43.65115,1076,0,1
E---1.9.1-6.3.0,6.3.0,3.44296,42.81605,1066,0,0
Equinox---6.0.1a-8.2.0,8.2.0,3.44276,0,1058,0,0
Equinox---6.0.1a-8.1.0,8.1.0,3.4397,0,1057,0,0
E-SAT---1.9.1-6.3.0,6.3.0,3.43642,42.72514,1065,0,0
CVC4-SAT---1.9-7.5.0,7.5.0,3.3518,0,1048,0,0
CVC4-SAT---1.7-7.4.0,7.4.0,3.3449,0,1045,0,0
cvc5-SAT---1.0-8.2.0,8.2.0,3.33016,0,1049,0,0
CVC4-SAT---1.5.2-7.1.0,7.1.0,3.31279,0,1040,0,0
CVC4-SAT---1.5.2-7.2.0,7.2.0,3.31279,0,1040,0,0
CVC4-SAT---1.7-7.3.0,7.3.0,3.29988,0,1040,0,0
Equinox---6.0.1a-8.0.0,8.0.0,3.26855,0,1017,0,0
DarwinFM---1.4.5-8.2.0,8.2.0,3.25227,0,986,0,0
DarwinFM---1.4.5-8.1.0,8.1.0,3.24921,0,985,0,0
Equinox---6.0.1a-7.1.0,7.1.0,3.21755,0,1001,0,0
Equinox---6.0.1a-7.2.0,7.2.0,3.21755,0,1001,0,0
Equinox---6.0.1a-7.3.0,7.3.0,3.21755,0,1001,0,0
Equinox---6.0.1a-7.4.0,7.4.0,3.21755,0,1001,0,0
Equinox---6.0.1a-7.5.0,7.5.0,3.21755,0,1001,0,0
cvc5-SAT---1.0-8.0.0,8.0.0,3.21644,0,1026,0,0
GrAnDe---1.1-6.3.0,6.3.0,3.21579,42.36416,616,0,8
GrAnDe---1.1-6.4.0,6.4.0,3.21579,0,616,0,0
GrAnDe---1.1-7.0.0,7.0.0,3.21579,0,616,0,0
GrAnDe---1.1-7.1.0,7.1.0,3.21579,0,616,0,0
GrAnDe---1.1-7.2.0,7.2.0,3.21579,0,616,0,0
cvc5-SAT---1.0-8.1.0,8.1.0,3.20592,0,1024,0,0
ET---0.2-6.3.0,6.3.0,3.07921,38.48847,986,0,0
ET---0.2-6.4.0,6.4.0,3.07921,0,986,0,0
ET---0.2-7.0.0,7.0.0,3.07921,0,986,0,0
Etableau---0.67-8.2.0,8.2.0,2.88386,0,880,0,0
Etableau---0.67-8.1.0,8.1.0,2.8808,0,879,0,0
Etableau---0.67-8.0.0,8.0.0,2.85809,0,874,0,0
Vampire-SAT---4.2-7.0.0,7.0.0,2.8378,0.5,404,0,0
SPASS---3.7-6.4.0,6.4.0,2.71204,0,897,0,0
Drodi---3.3.3-8.1.0,8.1.0,2.69182,0,905,0,0
CSE_E---1.4-8.2.0,8.2.0,2.68741,0,803,0,0
SPASS---3.9-8.2.0,8.2.0,2.669,0,892,0,0
SPASS---3.9-8.1.0,8.1.0,2.66594,0,891,0,0
SPASS---3.9-7.0.0,7.0.0,2.6618,0,891,0,0
SPASS---3.9-7.1.0,7.1.0,2.6618,0,891,0,0
SPASS---3.9-7.2.0,7.2.0,2.6618,0,891,0,0
SPASS---3.9-7.3.0,7.3.0,2.6618,0,891,0,0
SPASS---3.9-7.4.0,7.4.0,2.6618,0,891,0,0
SPASS---3.9-7.5.0,7.5.0,2.6618,0,891,0,0
SPASS---3.9-8.0.0,8.0.0,2.6618,0,891,0,0
CSE_E---1.2-7.5.0,7.5.0,2.65904,0,802,0,0
SPASS---3.7-6.3.0,6.3.0,2.65154,32.78938,885,0,0
CSE_E---1.3-8.0.0,8.0.0,2.63811,0,802,0,0
Vampire-SAT---4.0.5-6.4.0,6.4.0,2.63552,1.5,402,0,0
CSE_E---1.3-8.1.0,8.1.0,2.62992,0,801,0,0
CVC4---1.5pre-6.3.0,6.3.0,2.62651,33.87824,805,0,0
Vampire-SAT---4.0-6.3.0,6.3.0,2.60065,28.41766,402,0,0
Drodi---3.1.5-8.0.0,8.0.0,2.57149,0,878,0,0
Equinox---5.0-6.3.0,6.3.0,2.56391,32.31899,872,0,0
Equinox---5.0-6.4.0,6.4.0,2.56391,0,872,0,0
Equinox---5.0-7.0.0,7.0.0,2.56391,0,872,0,0
Beagle---0.9.47-8.2.0,8.2.0,2.53975,0,849,0,0
Beagle---0.9.47-8.1.0,8.1.0,2.53669,0,848,0,0
