Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire-SAT---4.5,95.11889,721.00000,14.00000
iProver-SAT---3.0,62.38437,635.00000,0.00000
Paradox---4.0,56.48340,611.00000,2.00000
CVC4-SAT---1.7,55.05813,581.00000,0.00000
Crossbow---0.1,48.47524,518.00000,2.00000
Nitpick---2016,42.77483,503.00000,0.00000
DarwinFM---1.4.5,39.48828,541.00000,0.00000
iProver---3.0,27.41057,441.00000,0.00000
Geo-III---2018C,26.86785,445.00000,0.00000
E---2.5,23.40340,403.00000,0.00000
E-SAT---2.5,23.40340,403.00000,0.00000
Enigma---0.4,22.42918,390.00000,0.00000
Vampire---4.5,20.84448,382.00000,0.00000
Mace4---1109a,19.52464,300.00000,0.00000
Z3---4.8.9.0,17.54588,354.00000,0.00000
Equinox---6.0.1a,17.39154,341.00000,0.00000
SPASS---3.9,17.14335,291.00000,3.00000
Metis---2.4,14.58495,301.00000,0.00000
iProver-Eq---0.85,14.53381,292.00000,0.00000
E-Darwin---1.5,14.29315,305.00000,0.00000
Beagle---0.9.47,13.75819,279.00000,0.00000
Darwin---1.4.5,12.20244,253.00000,0.00000
Refute---2015,11.35717,169.00000,0.00000
Princess---170717,11.27897,233.00000,0.00000
PyRes---1.2,9.40014,206.00000,0.00000
nanoCoP---1.1,4.95111,94.00000,0.00000
Twee---2.2,3.24871,50.00000,0.00000
leanCoP---2.2,1.62088,24.00000,0.00000
Bliksem---1.12,1.13048,27.00000,0.00000
CVC4---1.7,0.62288,10.00000,0.00000
LEO-II---1.7.0,0.26970,7.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
RPx---0.1,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Zipperpin---1.5,0.00000,0.00000,0.00000
SNARK---20120808r022,0.00000,0.00000,0.00000
CSE---1.2,0.00000,0.00000,0.00000
GKC---0.4,0.00000,0.00000,0.00000
MaedMax---1.3,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
ZenonModulo---0.4.2,0.00000,0.00000,0.00000
Scavenger---EP-0.2,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
Moca---0.1,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
Prover9---1109a,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
DCTP---1.31,0.00000,0.00000,0.00000
CSE_E---1.1,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
iProverMo---2.5-0.1,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
Otter---3.3,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
Isabelle---2016,0.00000,0.00000,0.00000
Faust---1.0,0.00000,0.00000,0.00000
Leo-III---1.4,0.00000,0.00000,0.00000
FDP---0.9.16,0.00000,0.00000,0.00000
Satallax---3.4,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Isabelle-HOT---2016,0.00000,0.00000,0.00000
SOS---2.0,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
