Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Vampire-SAT---4.5.1-7.5.0,7.5.0,9.85582,1,611,1,1
Vampire-SAT---4.6.1-8.0.0,8.0.0,8.85582,0,610,0,0
Vampire-SAT---4.6.1-8.1.0,8.1.0,8.81037,0,609,0,0
Vampire-SAT---4.2-7.1.0,7.1.0,8.65582,1,609,0,1
Vampire-SAT---4.2-7.2.0,7.2.0,8.65582,0,609,0,0
Vampire-SAT---4.5-7.4.0,7.4.0,8.5789,1,607,0,1
Vampire-SAT---4.3-7.3.0,7.3.0,8.52249,1,609,0,1
Vampire-SAT---4.2-7.0.0,7.0.0,8.2844,1.5,604,0,1
Vampire-SAT---4.0.5-6.4.0,6.4.0,8.07442,14.16667,604,0,10
iProver-SAT---3.5-7.5.0,7.5.0,6.30248,0,567,0,0
iProver-SAT---2.6-7.1.0,7.1.0,5.89545,0,556,0,0
iProver-SAT---2.6-7.2.0,7.2.0,5.89545,0,556,0,0
iProver-SAT---2.6-7.0.0,7.0.0,5.86763,0,553,0,0
iProver-SAT---2.5-6.4.0,6.4.0,5.82671,2.16667,542,0,0
iProver-SAT---3.0-7.3.0,7.3.0,5.77405,0,549,0,0
iProver-SAT---3.0-7.4.0,7.4.0,5.77405,0,549,0,0
iProver-SAT---2.0-6.3.0,6.3.0,5.73738,93.22355,542,0,53
Vampire-SAT---4.7-8.2.0,8.2.0,5.35213,0,547,0,0
CVC4-SAT---1.7-7.4.0,7.4.0,5.02978,0,493,0,0
CVC4-SAT---1.7-7.3.0,7.3.0,4.98784,0,490,0,0
cvc5-SAT---1.0-8.2.0,8.2.0,4.9357,0,488,0,0
CVC4-SAT---1.5.2-7.0.0,7.0.0,4.91754,0,488,0,0
CVC4-SAT---1.5.2-7.1.0,7.1.0,4.88382,0,486,0,0
CVC4-SAT---1.5.2-7.2.0,7.2.0,4.88382,0,486,0,0
Vampire-SAT---4.0-6.3.0,6.3.0,4.701,54.31385,529,0,5
SnakeForV-SAT---1.0-8.2.0,8.2.0,4.44235,0,525,0,0
Crossbow---0.1-8.1.0,8.1.0,4.18995,0,466,0,0
Crossbow---0.1-8.2.0,8.2.0,4.18995,0,466,0,0
Crossbow---0.1-8.0.0,8.0.0,3.98773,0,420,0,0
Paradox---4.0-8.1.0,8.1.0,3.95087,0,503,0,0
