Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.3,752.74760,5680.00000,266.00000
ET---2.0,382.73553,4982.00000,16.00000
E---2.4,332.73426,4809.00000,1.00000
CSE_E---1.0,311.72024,4774.00000,4.00000
E-SAT---2.4,262.24439,4592.00000,0.00000
CVC4---1.7,221.19726,4124.00000,9.00000
Isabelle---2016,196.88998,4029.00000,0.00000
Vampire-SAT---4.3,189.80946,3829.00000,10.00000
Isabelle-HOT---2016,189.28164,3971.00000,0.00000
Leo-III---1.3,181.10895,3901.00000,5.00000
iProver---3.0,171.97066,3731.00000,1.00000
SInE---0.4,160.79666,3427.00000,0.00000
Fampire---1.3,149.98378,3373.00000,3.00000
SRASS---0.1,148.92681,3389.00000,2.00000
Z3---4.4.1,142.89304,3131.00000,6.00000
iProver-SAT---3.0,142.07956,3443.00000,2.00000
ePrincess---1.0,125.75190,3080.00000,2.00000
Princess---170717,115.66197,2982.00000,0.00000
SPASS---3.9,111.76092,3022.00000,0.00000
SNARK---20120808r022,102.07174,2805.00000,0.00000
CVC4-SAT---1.7,101.08658,2639.00000,3.00000
Prover9---1109a,98.42254,2478.00000,1.00000
leanCoP---2.2,92.78743,2512.00000,0.00000
Zipperpin---1.4,88.15095,2619.00000,0.00000
Beagle---0.9.47,86.06784,2586.00000,0.00000
Equinox---6.0.1a,85.98102,2450.00000,0.00000
nanoCoP---1.1,84.94376,2408.00000,0.00000
ZenonModulo---0.4.2,84.38202,1596.00000,0.00000
E-Darwin---1.5,78.83288,2362.00000,0.00000
Darwin---1.4.5,75.86463,2179.00000,1.00000
LEO-II---1.7.0,75.39840,2351.00000,0.00000
CSE---1.1,70.67273,2083.00000,0.00000
Twee---2.2,66.69979,1486.00000,3.00000
iProver-Eq---0.85,64.56852,1953.00000,0.00000
Muscadet---4.5,62.85815,1511.00000,1.00000
Bliksem---1.12,58.84787,1694.00000,0.00000
Metis---2.4,58.65777,1859.00000,1.00000
Geo-III---2018C,58.25092,1460.00000,10.00000
SuperZenon---0.0.1,44.91203,1510.00000,0.00000
iProverMo---2.5-0.1,44.65678,1419.00000,0.00000
Zenon---0.7.1,41.73434,1436.00000,0.00000
SOS---2.0,27.25709,1025.00000,0.00000
Faust---1.0,10.50419,413.00000,0.00000
Otter---3.3,7.64297,251.00000,0.00000
Paradox---4.0,0.19916,8.00000,0.00000
DarwinFM---1.4.5,0.17416,7.00000,0.00000
Scavenger---EP-0.2,0.07911,3.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Moca---0.1,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
Satallax---3.4,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
DCTP---1.31,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
FDP---0.9.16,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
MaedMax---0.9,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
