Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Vampire---4.0.5-6.4.0,6.4.0,63.01405,36.5,5262,17,34
Vampire---4.2-7.0.0,7.0.0,60.46345,73.33333,5530,0,72
Vampire---4.2-7.1.0,7.1.0,60.46345,0,5530,0,0
Vampire---4.2-7.2.0,7.2.0,60.46345,0,5530,0,0
Vampire---4.3-7.3.0,7.3.0,58.996,7.57294,5462,1,7
Vampire---4.6.1-8.0.0,8.0.0,55.38558,2,5392,1,2
Vampire---4.6.1-8.1.0,8.1.0,54.96226,0,5402,0,0
Vampire---4.5-7.4.0,7.4.0,52.93767,11,5199,1,11
SnakeForV---1.0-8.2.0,8.2.0,52.60057,6,5223,6,6
Vampire---4.5.1-7.5.0,7.5.0,52.49289,1.5,5244,0,1
Vampire---4.7-8.2.0,8.2.0,50.82324,0,5318,0,0
Vampire---4.0-6.3.0,6.3.0,48.03889,657.07087,5306,0,174
Enigma---0.5.1-8.1.0,8.1.0,40.68217,0,5118,0,0
Enigma---0.5.1-8.2.0,8.2.0,40.68217,0,5118,0,0
Enigma---0.5.1-7.5.0,7.5.0,40.18692,9.5,5094,0,9
Enigma---0.5.1-8.0.0,8.0.0,39.53127,0,5067,0,0
ET---0.2-6.3.0,6.3.0,33.91123,434.00682,4747,0,31
ET---0.2-6.4.0,6.4.0,33.91123,0,4747,0,0
ET---0.2-7.0.0,7.0.0,33.91123,0,4747,0,0
E---2.6-7.5.0,7.5.0,32.14513,1.5,4903,0,0
Enigma---0.4-7.4.0,7.4.0,31.45246,0,4895,0,0
ET---2.0-7.3.0,7.3.0,31.08655,0.07294,4827,0,0
ET---2.0-7.4.0,7.4.0,31.08655,0,4827,0,0
ET---2.0-7.5.0,7.5.0,31.08655,0,4827,0,0
CSE_E---1.4-8.2.0,8.2.0,30.9866,0,4870,0,0
CSE_E---1.3-8.0.0,8.0.0,30.89678,1,4834,1,1
ET---2.0-8.0.0,8.0.0,30.26893,0,4801,0,0
ET---2.0-8.1.0,8.1.0,29.76427,0,4766,0,0
ET---2.0-8.2.0,8.2.0,29.76427,0,4766,0,0
CSE_E---1.2-7.5.0,7.5.0,29.75079,0,4844,0,0
CSE_E---1.3-8.1.0,8.1.0,29.73946,0,4830,0,0
E-SAT---2.6-7.5.0,7.5.0,29.6897,1.5,4747,0,0
iProver---3.5-7.5.0,7.5.0,29.58758,3,4555,0,3
iProver---3.5-8.0.0,8.0.0,29.3482,0,4541,0,0
CSE_E---1.1-7.4.0,7.4.0,28.88521,2,4653,1,2
E-SAT---3.0-8.2.0,8.2.0,28.34183,0.5,4741,0,0
E---3.0-8.2.0,8.2.0,28.34081,0.5,4742,0,0
E---2.5-7.4.0,7.4.0,27.77316,1,4699,0,0
E---1.9.1-6.4.0,6.4.0,27.72719,0.5,4701,0,0
ET---2.0-7.1.0,7.1.0,27.71425,5,4636,0,5
ET---2.0-7.2.0,7.2.0,27.71425,0,4636,0,0
E---2.4-7.3.0,7.3.0,27.36189,1.07294,4662,0,0
E-SAT---1.9.1-6.3.0,6.3.0,27.04586,363.71503,4681,0,0
E---1.9.1-6.3.0,6.3.0,26.98768,362.76674,4676,0,0
E-SAT---1.9.1-6.4.0,6.4.0,26.81755,4,4616,0,1
E---2.6.X-8.1.0,8.1.0,26.22121,1,4554,1,1
CSE_E---1.0-7.3.0,7.3.0,26.1337,0.07294,4635,0,0
E---2.6.X-8.0.0,8.0.0,25.23122,0,4552,0,0
E-SAT---2.6.X-8.0.0,8.0.0,24.61128,0,4452,0,0
E-SAT---2.6.X-8.1.0,8.1.0,24.5857,0,4452,0,0
E-SAT---2.5-7.4.0,7.4.0,24.38213,1,4500,0,0
E---2.1-7.1.0,7.1.0,23.64293,0,4494,0,0
E---2.1-7.2.0,7.2.0,23.64293,0,4494,0,0
E---2.0-7.0.0,7.0.0,23.59015,2.83333,4494,0,0
E-SAT---2.4-7.3.0,7.3.0,23.08851,1.07294,4445,0,0
VampireZ3---1.0-6.3.0,6.3.0,22.86363,307.79217,4457,0,0
cvc5---1.0-8.2.0,8.2.0,22.80962,0,4089,0,0
cvc5---1.0-8.0.0,8.0.0,22.77457,6,4096,0,6
cvc5---1.0-8.1.0,8.1.0,22.68941,0,4095,0,0
SnakeForV-SAT---1.0-8.2.0,8.2.0,22.55182,0,4367,0,0
E-SAT---2.1-7.1.0,7.1.0,22.2954,0,4438,0,0
E-SAT---2.1-7.2.0,7.2.0,22.2954,0,4438,0,0
E-SAT---2.0-7.0.0,7.0.0,22.27712,3.16667,4436,0,0
GKC---0.7-8.1.0,8.1.0,22.23656,0,4182,0,0
GKC---0.7-8.2.0,8.2.0,22.23656,0,4182,0,0
GKC---0.7-8.0.0,8.0.0,21.55317,1,4145,0,1
CVC4---1.5.2-7.0.0,7.0.0,21.37276,10.66667,4078,0,9
Leo-III---1.6.6-8.1.0,8.1.0,21.33709,0,3890,0,0
Leo-III---1.7.7-8.2.0,8.2.0,21.31221,0,3892,0,0
iProver---3.5-8.1.0,8.1.0,21.17659,0,4159,0,0
Leo-III---1.6.6-8.0.0,8.0.0,21.02309,2,3870,0,2
CVC4---1.5.2-7.1.0,7.1.0,20.66156,0,4068,0,0
CVC4---1.5.2-7.2.0,7.2.0,20.66156,0,4068,0,0
CVC4---1.7-7.4.0,7.4.0,20.49257,0,4052,0,0
CVC4---1.9-7.5.0,7.5.0,20.21293,1,4043,0,1
Leo-III---1.7.0-8.2.0,8.2.0,20.1814,0,3830,0,0
Leo-III---1.5.6-7.5.0,7.5.0,19.99615,10,3835,0,10
CVC4---1.7-7.3.0,7.3.0,19.38885,1.07294,4012,0,1
GKC---0.4-7.4.0,7.4.0,19.02414,0,3886,0,0
GKC---0.5.1-7.5.0,7.5.0,18.70844,0,3938,0,0
iProver-SAT---3.5-7.5.0,7.5.0,18.69725,1,3923,1,1
Etableau---0.67-8.0.0,8.0.0,18.56809,0,3996,0,0
Etableau---0.67-8.1.0,8.1.0,18.56353,0,3996,0,0
Etableau---0.67-8.2.0,8.2.0,18.56353,0,3996,0,0
Leo-III---1.4-7.4.0,7.4.0,18.42964,7,3786,1,7
CVC4---1.5pre-6.3.0,6.3.0,18.25143,240.64806,3888,0,14
iProver---3.7-8.2.0,8.2.0,17.75968,0,4026,0,0
CVC4---1.5j8-6.4.0,6.4.0,17.5266,5,3854,0,5
Isabelle---2016-7.0.0,7.0.0,16.8442,0,3925,0,0
Isabelle---2016-7.1.0,7.1.0,16.78609,0,3915,0,0
Isabelle---2016-7.2.0,7.2.0,16.78609,0,3915,0,0
Isabelle---2016-7.3.0,7.3.0,16.7601,0.07294,3910,0,0
Isabelle---2016-7.4.0,7.4.0,16.7601,0,3910,0,0
Isabelle---2016-7.5.0,7.5.0,16.7601,0,3910,0,0
Isabelle---2016-8.0.0,8.0.0,16.7601,0,3910,0,0
Isabelle---2016-8.1.0,8.1.0,16.7601,0,3910,0,0
Isabelle---2016-8.2.0,8.2.0,16.7601,0,3910,0,0
Isabelle---2015-6.4.0,6.4.0,16.66015,0,3864,0,0
iProver---2.7.5-7.2.0,7.2.0,16.59041,1,3437,1,1
Isabelle---2015-6.3.0,6.3.0,16.38395,213.98521,3848,0,1
Drodi---3.5.1-8.2.0,8.2.0,16.24406,0,3813,0,0
Isabelle-HOT---2016-7.0.0,7.0.0,16.19969,0,3865,0,0
Isabelle-HOT---2016-7.1.0,7.1.0,16.16834,0,3857,0,0
Isabelle-HOT---2016-7.2.0,7.2.0,16.16834,0,3857,0,0
Isabelle-HOT---2016-7.3.0,7.3.0,16.14236,0.07294,3852,0,0
Isabelle-HOT---2016-7.4.0,7.4.0,16.14236,0,3852,0,0
