Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Vampire-SAT---4.0-6.3.0,6.3.0,0.64863,8.16667,12.00000,0.00000,6.00000
CVC4-TFN---1.5pre-6.3.0,6.3.0,0.15776,3.00000,3.00000,0.00000,3.00000
VampireZ3---1.0-6.3.0,6.3.0,0.26056,2.16667,6.00000,0.00000,0.00000
Vampire---4.0-6.3.0,6.3.0,0.20500,1.66667,5.00000,0.00000,0.00000
Crossbow---0.1-6.3.0,6.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
Waldmeister---710-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
CSE_E---1.1-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
Darwin---1.4.5-7.5.0,7.5.0,0.00000,0.00000,0.00000,0.00000,0.00000
Nitpick---2016-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
Vampire-SAT---4.5-7.4.0,7.4.0,0.73973,0.00000,14.00000,0.00000,0.00000
Nitpick---2015-6.3.0,6.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
Nitpick---2016-8.0.0,8.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
leanCoP---2.2-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
Moca---0.1-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
ZenonModulo---0.4.1-7.1.0,7.1.0,0.00000,0.00000,0.00000,0.00000,0.00000
Satallax---3.5-8.1.0,8.1.0,0.00000,0.00000,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3-8.2.0,8.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
SuperZenon---0.0.1-6.3.0,6.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
PEPR---0.0ps-8.1.0,8.1.0,0.00000,0.00000,0.00000,0.00000,0.00000
SOS---2.0-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
ZenonModulo---0.4.1-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
GrAnDe---1.1-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
ePrincess---1.0-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
CVC4-SAT---1.5j8-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
E---2.5-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
cvc5-SAT---1.0-8.0.0,8.0.0,0.09110,0.00000,2.00000,0.00000,0.00000
Darwin---1.4.5-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
Isabelle-HOT---2016-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
EQP---0.9e-6.3.0,6.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
Prover9---1109a-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
EQP---0.9e-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
Crossbow---0.1-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
CVC4-TFN---1.5j8-6.4.0,6.4.0,0.15776,0.00000,3.00000,0.00000,0.00000
Matita---1.0-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
iProver---3.5-8.0.0,8.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
Moca---0.1-8.0.0,8.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
SOS---2.0-8.0.0,8.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
Nitpick---2016-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
DarwinFM---1.4.5-7.3.0,7.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
SnakeForV---1.0-8.2.0,8.2.0,0.04348,0.00000,1.00000,0.00000,0.00000
CARINE---0.734-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
Isabelle---2016-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
Isabelle---2016-8.1.0,8.1.0,0.00000,0.00000,0.00000,0.00000,0.00000
Zipperpin---0.4-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
CSE---1.5-8.2.0,8.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
Gandalf---c-2.6-7.1.0,7.1.0,0.00000,0.00000,0.00000,0.00000,0.00000
E---2.6.X-8.1.0,8.1.0,0.06667,0.00000,1.00000,0.00000,0.00000
iProver-SAT---2.6-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
Z3---4.8.9.0-7.4.0,7.4.0,0.34949,0.00000,8.00000,0.00000,0.00000
Bliksem---1.12-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
Waldmeister---710-8.0.0,8.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
CiME---2.01-7.3.0,7.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
Geo-III---2015E-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
SRASS---0.1-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
Zipperpin-TFF---0.4-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
SRASS---0.1-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
GrAnDe---1.1-8.0.0,8.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
SRASS---0.1-6.3.0,6.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
ePrincess---1.0-7.1.0,7.1.0,0.00000,0.00000,0.00000,0.00000,0.00000
leanCoP---2.2-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
Refute---2015-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
iProverMo---0.7-0.3-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
LEO-II---1.7.0-8.2.0,8.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
Beagle---0.9.47-8.2.0,8.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
CSE_E---1.2-7.5.0,7.5.0,0.00000,0.00000,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3-6.3.0,6.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
CiME---2.01-8.1.0,8.1.0,0.00000,0.00000,0.00000,0.00000,0.00000
Drodi---3.3.3-8.1.0,8.1.0,0.00000,0.00000,0.00000,0.00000,0.00000
GrAnDe---1.1-7.3.0,7.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
Metis---2.3-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
iProver-SAT---2.6-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
Zenon---0.7.1-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
Muscadet---4.5-7.3.0,7.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
PyRes---1.3-8.0.0,8.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
CiME---2.01-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
Fiesta---2-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
ePrincess---1.0-6.3.0,6.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
Twee---2.2-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
lazyCoP---0.1-7.5.0,7.5.0,0.00000,0.00000,0.00000,0.00000,0.00000
agsyHOL---1.0-8.0.0,8.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
SuperZenon---0.0.1-8.1.0,8.1.0,0.00000,0.00000,0.00000,0.00000,0.00000
DarwinFM---1.4.5-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
DarwinFM---1.4.5-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
CVC4---1.5.2-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
leanCoP---2.2-7.5.0,7.5.0,0.00000,0.00000,0.00000,0.00000,0.00000
Zenon---0.7.1-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
CARINE---0.734-8.0.0,8.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
DarwinFM---1.4.5-8.2.0,8.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
SPASS-XDB---0.8-7.2.0,7.2.0,0.00000,0.00000,0.00000,0.00000,0.00000
CVC4---1.5.2-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
Equinox---6.0.1a-7.5.0,7.5.0,0.00000,0.00000,0.00000,0.00000,0.00000
Metis---2.4-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
Crossbow---0.1-7.5.0,7.5.0,0.00000,0.00000,0.00000,0.00000,0.00000
E-SAT---2.5-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
