Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire---4.2,147.91418,972.00000,20.00000
CVC4---1.5.2,136.48561,962.00000,6.00000
Princess---170717,109.09910,887.00000,2.00000
Vampire-SAT---4.2,97.86537,841.00000,0.00000
SPASS+T---2.2.22,86.61418,776.00000,0.00000
Z3---4.4.1,84.98629,638.00000,3.00000
Beagle---0.9.47,78.99037,705.00000,0.00000
CVC4-SAT---1.5.2,73.23759,664.00000,0.00000
Zipperpin---1.4,65.32565,549.00000,2.00000
SNARK---20120808r022,54.69830,545.00000,0.00000
SPASS-XDB---0.8,48.46319,478.00000,1.00000
ZenonModulo---0.4.1,33.33804,361.00000,0.00000
E---2.1,0.19643,3.00000,0.00000
E-SAT---2.1,0.19643,3.00000,0.00000
iProverMo---2.5-0.1,0.19643,3.00000,0.00000
Isabelle---2016,0.19643,3.00000,0.00000
Isabelle-HOT---2016,0.19643,3.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Prover9---1109a,0.00000,0.00000,0.00000
Satallax---3.2,0.00000,0.00000,0.00000
Metis---2.3,0.00000,0.00000,0.00000
E-Darwin---1.5,0.00000,0.00000,0.00000
Nitpick---2016,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
SOS---2.0,0.00000,0.00000,0.00000
Otter---3.3,0.00000,0.00000,0.00000
iProver-Eq---0.85,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
SPASS---3.9,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Paradox---4.0,0.00000,0.00000,0.00000
FDP---0.9.16,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
LEO-II---1.7.0,0.00000,0.00000,0.00000
DarwinFM---1.4.5,0.00000,0.00000,0.00000
iProver-SAT---2.6,0.00000,0.00000,0.00000
Equinox---6.0.1a,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
Waldmeister---710,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Twee---2.0,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
iProver---2.6,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Bliksem---1.12,0.00000,0.00000,0.00000
DCTP---1.31,0.00000,0.00000,0.00000
CiME---2.01,0.00000,0.00000,0.00000
Darwin---1.4.5,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
Leo-III---1.2,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
lean-nanoCoP---1.0,0.00000,0.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
Geo-III---2016C,0.00000,0.00000,0.00000
Faust---1.0,0.00000,0.00000,0.00000
Mace4---1109a,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
