Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Vampire---4.5-7.4.0,7.4.0,14.11177,1,955,1,1
Vampire---4.2-7.0.0,7.0.0,13.32739,4.5,959,0,4
Vampire---4.2-7.1.0,7.1.0,13.32739,0,959,0,0
Vampire---4.2-7.2.0,7.2.0,13.32739,0,959,0,0
SnakeForV---1.0-8.2.0,8.2.0,13.25702,0,953,0,0
Vampire---4.6.1-8.0.0,8.0.0,13.24862,0,953,0,0
Vampire---4.5.1-7.5.0,7.5.0,13.19177,0,954,0,0
Vampire---4.3-7.3.0,7.3.0,13.10278,0,953,0,0
Vampire---4.6.1-8.1.0,8.1.0,12.7391,0,950,0,0
CVC4---1.9-7.5.0,7.5.0,12.50094,0,952,0,0
CVC4---1.5.2-7.1.0,7.1.0,12.49598,2,947,0,2
CVC4---1.5.2-7.2.0,7.2.0,12.49598,0,947,0,0
CVC4---1.7-7.4.0,7.4.0,12.38853,0,955,0,0
cvc5---1.0-8.2.0,8.2.0,12.18964,0,952,0,0
CVC4---1.7-7.3.0,7.3.0,12.17397,0,952,0,0
Vampire---4.0.5-6.4.0,6.4.0,12.11814,22.5,928,0,9
cvc5---1.0-8.0.0,8.0.0,12.10073,0,950,0,0
Vampire---4.7-8.2.0,8.2.0,12.0808,0,937,0,0
cvc5---1.0-8.1.0,8.1.0,12.0017,0,948,0,0
CVC4-TFF---1.5.2-7.0.0,7.0.0,11.97291,1.5,942,0,1
Z3---4.8.9.0-8.2.0,8.2.0,10.55269,1,808,1,1
SnakeForV-SAT---1.0-8.2.0,8.2.0,10.3756,0,897,0,0
VampireZ3---1.0-6.3.0,6.3.0,10.28892,100.99116,844,0,3
CVC4-TFF---1.5j8-6.4.0,6.4.0,10.12312,0.33333,874,0,0
CVC4-TFF---1.5pre-6.3.0,6.3.0,10.08128,108.96021,868,0,0
Vampire---4.0-6.3.0,6.3.0,10.00427,95.63005,827,0,1
Princess---170717-8.1.0,8.1.0,9.81484,0,875,0,0
Princess---160606-7.0.0,7.0.0,9.78546,0,874,0,0
Princess---170717-7.1.0,7.1.0,9.72505,0,872,0,0
Princess---170717-7.2.0,7.2.0,9.72505,0,872,0,0
Princess---170717-7.3.0,7.3.0,9.72505,0,872,0,0
Princess---170717-7.4.0,7.4.0,9.72505,0,872,0,0
Princess---170717-7.5.0,7.5.0,9.72505,0,872,0,0
Princess---170717-8.0.0,8.0.0,9.72505,0,872,0,0
Princess---150706-6.4.0,6.4.0,9.66288,9.66667,866,0,3
Princess---230526-8.2.0,8.2.0,9.5994,0,859,0,0
Z3---4.8.9.0-7.4.0,7.4.0,9.55269,0,807,0,0
Z3---4.8.9.0-7.5.0,7.5.0,9.55269,0,807,0,0
Z3---4.8.9.0-8.0.0,8.0.0,9.55269,0,807,0,0
Z3---4.8.9.0-8.1.0,8.1.0,9.55269,0,807,0,0
CVC4-TFN---1.5j8-6.4.0,6.4.0,9.55228,0.33333,843,0,0
CVC4-TFN---1.5pre-6.3.0,6.3.0,9.52911,103.58918,839,0,0
CVC4-SAT---1.9-7.5.0,7.5.0,9.52268,0,856,0,0
CVC4-SAT---1.7-7.4.0,7.4.0,9.50296,0,848,0,0
cvc5-SAT---1.0-8.0.0,8.0.0,9.49894,0,855,0,0
cvc5-SAT---1.0-8.1.0,8.1.0,9.49894,0,855,0,0
CVC4-SAT---1.7-7.3.0,7.3.0,9.49503,0,854,0,0
iProver---3.7-8.2.0,8.2.0,9.28131,0,835,0,0
Vampire-SAT---4.2-7.1.0,7.1.0,8.95211,0,829,0,0
Vampire-SAT---4.2-7.2.0,7.2.0,8.95211,0,829,0,0
Beagle---0.9.47-8.1.0,8.1.0,8.85882,0,829,0,0
Beagle---0.9.47-8.2.0,8.2.0,8.85882,0,829,0,0
Princess---150706-6.3.0,6.3.0,8.77601,86.19513,814,0,0
Vampire-SAT---4.5-7.4.0,7.4.0,8.6411,0,779,0,0
Beagle---0.9.32-6.3.0,6.3.0,8.6188,87.73799,808,0,3
Beagle---0.9.32-6.4.0,6.4.0,8.55864,0,806,0,0
Vampire-SAT---4.5.1-7.5.0,7.5.0,8.36118,0,758,0,0
Vampire-SAT---4.6.1-8.0.0,8.0.0,8.22088,0,755,0,0
Vampire-SAT---4.6.1-8.1.0,8.1.0,8.17141,0,754,0,0
Vampire-SAT---4.7-8.2.0,8.2.0,8.1589,0,757,0,0
Vampire-SAT---4.3-7.3.0,7.3.0,8.07828,0,729,0,0
SPASS+T---2.2.22-8.1.0,8.1.0,7.8411,0,771,0,0
SPASS+T---2.2.22-8.2.0,8.2.0,7.8411,0,771,0,0
SPASS+T---2.2.22-6.4.0,6.4.0,7.82026,0.5,770,0,0
SPASS+T---2.2.22-7.0.0,7.0.0,7.82026,0,770,0,0
SPASS+T---2.2.22-7.1.0,7.1.0,7.80488,0,769,0,0
SPASS+T---2.2.22-7.2.0,7.2.0,7.80488,0,769,0,0
SPASS+T---2.2.22-7.3.0,7.3.0,7.80488,0,769,0,0
SPASS+T---2.2.22-7.4.0,7.4.0,7.80488,0,769,0,0
SPASS+T---2.2.22-7.5.0,7.5.0,7.80488,0,769,0,0
SPASS+T---2.2.22-8.0.0,8.0.0,7.80488,0,769,0,0
Z3---4.4.1-6.4.0,6.4.0,7.66005,20.66667,627,0,8
Z3---4.4.1-7.0.0,7.0.0,7.66005,0,627,0,0
Z3---4.4.1-7.1.0,7.1.0,7.66005,0,627,0,0
Z3---4.4.1-7.2.0,7.2.0,7.66005,0,627,0,0
Z3---4.4.1-7.3.0,7.3.0,7.66005,0,627,0,0
Z3---4.4-TPTP-6.3.0,6.3.0,7.39836,73.20733,684,0,1
SPASS+T---2.2.22-6.3.0,6.3.0,7.1869,70.49254,728,0,0
Beagle---0.9.47-7.1.0,7.1.0,7.16388,0,698,0,0
Beagle---0.9.47-7.2.0,7.2.0,7.16388,0,698,0,0
Beagle---0.9.47-7.3.0,7.3.0,7.16388,0,698,0,0
Beagle---0.9.47-7.4.0,7.4.0,7.16388,0,698,0,0
Beagle---0.9.47-7.5.0,7.5.0,7.16388,0,698,0,0
Beagle---0.9.47-8.0.0,8.0.0,7.16388,0,698,0,0
