Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Vampire---4.0.5-6.4.0,6.4.0,1.59981,0.5,82,0,0
Vampire---4.0-6.3.0,6.3.0,1.55634,18.81619,81,0,8
Vampire---4.6.1-8.0.0,8.0.0,1.31499,0,64,0,0
Vampire---4.6.1-8.1.0,8.1.0,1.31499,0,64,0,0
Vampire---4.7-8.2.0,8.2.0,1.31499,0,64,0,0
Vampire---4.5-7.4.0,7.4.0,1.30862,0,63,0,0
Vampire---4.5.1-7.5.0,7.5.0,1.30862,0,63,0,0
Z3---4.8.9.0-7.4.0,7.4.0,1.28042,2,70,0,2
Z3---4.8.9.0-7.5.0,7.5.0,1.28042,0,70,0,0
Z3---4.8.9.0-8.0.0,8.0.0,1.28042,0,70,0,0
Z3---4.8.9.0-8.1.0,8.1.0,1.28042,0,70,0,0
Z3---4.8.9.0-8.2.0,8.2.0,1.28042,0,70,0,0
Vampire---4.2-7.0.0,7.0.0,1.23924,1,62,0,1
Vampire---4.2-7.1.0,7.1.0,1.23924,0,62,0,0
Vampire---4.2-7.2.0,7.2.0,1.23924,0,62,0,0
Vampire---4.3-7.3.0,7.3.0,1.23924,0,62,0,0
CVC4-TFF---1.5.2-7.0.0,7.0.0,1.21091,1,73,0,1
SnakeForV---1.0-8.2.0,8.2.0,1.13492,0,60,0,0
cvc5---1.0-8.2.0,8.2.0,0.99225,0,75,0,0
cvc5---1.0-8.0.0,8.0.0,0.97141,0,74,0,0
cvc5---1.0-8.1.0,8.1.0,0.97141,0,74,0,0
VampireZ3---1.0-6.3.0,6.3.0,0.91652,11.00667,73,0,0
Z3---4.4.1-6.4.0,6.4.0,0.90729,2.5,71,0,2
Z3---4.4.1-7.0.0,7.0.0,0.90729,0,71,0,0
Z3---4.4.1-7.1.0,7.1.0,0.90729,0,71,0,0
Z3---4.4.1-7.2.0,7.2.0,0.90729,0,71,0,0
Z3---4.4.1-7.3.0,7.3.0,0.90729,0,71,0,0
CVC4---1.7-7.4.0,7.4.0,0.88334,0,58,0,0
Vampire-SAT---4.5-7.4.0,7.4.0,0.88328,0,69,0,0
iProverMo---2.5-0.1-7.1.0,7.1.0,0.87257,0,62,0,0
iProverMo---2.5-0.1-7.2.0,7.2.0,0.87257,0,62,0,0
iProverMo---2.5-0.1-7.3.0,7.3.0,0.87257,0,62,0,0
iProverMo---2.5-0.1-7.4.0,7.4.0,0.87257,0,62,0,0
iProverMo---2.5-0.1-7.5.0,7.5.0,0.87257,0,62,0,0
iProverMo---2.5-0.1-8.0.0,8.0.0,0.87257,0,62,0,0
Vampire-SAT---4.5.1-7.5.0,7.5.0,0.73754,0,68,0,0
Vampire-SAT---4.6.1-8.0.0,8.0.0,0.73754,0,68,0,0
Vampire-SAT---4.6.1-8.1.0,8.1.0,0.73754,0,68,0,0
Isabelle---2016-7.0.0,7.0.0,0.72248,0,67,0,0
Isabelle-HOT---2016-7.0.0,7.0.0,0.72248,0,67,0,0
Isabelle---2016-7.1.0,7.1.0,0.72248,0,67,0,0
Isabelle---2016-7.2.0,7.2.0,0.72248,0,67,0,0
Isabelle---2016-7.3.0,7.3.0,0.72248,0,67,0,0
