Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
lambdaE---22.03.23-8.0.0,8.0.0,30.79368,6,2178,3,4
Zipperpin---2.1.999-8.2.0,8.2.0,28.06518,1,2167,1,1
Zipperpin---2.1-8.0.0,8.0.0,27.21276,6,2187,0,4
Zipperpin---2.0-7.5.0,7.5.0,27.14946,19,2141,0,18
Zipperpin---2.1-8.1.0,8.1.0,27.04958,0,2183,0,0
Lash---1.11-8.1.0,8.1.0,24.26703,5,1960,3,5
E---3.0-8.2.0,8.2.0,23.18365,0,2003,0,0
E-SAT---3.0-8.2.0,8.2.0,23.18365,0,2003,0,0
Satallax---3.4-7.3.0,7.3.0,22.80938,0,2146,0,0
Satallax---3.4-7.4.0,7.4.0,22.80938,0,2146,0,0
Satallax---3.5-7.5.0,7.5.0,22.73937,2,2123,0,2
Satallax---3.5-8.0.0,8.0.0,22.73937,0,2123,0,0
Satallax---3.5-8.1.0,8.1.0,22.73937,0,2123,0,0
Satallax---3.5-8.2.0,8.2.0,22.73937,0,2123,0,0
Satallax---3.2-7.0.0,7.0.0,22.71706,15.66667,2129,0,15
Satallax---3.2-7.1.0,7.1.0,22.71706,0,2129,0,0
Satallax---3.2-7.2.0,7.2.0,22.71706,0,2129,0,0
Leo-III---1.2-7.1.0,7.1.0,22.03649,10,2009,1,10
Leo-III---1.3-7.3.0,7.3.0,21.83009,6,2049,1,6
Vampire---4.5.1-7.5.0,7.5.0,21.70911,3.83333,2066,0,2
Leo-III---1.6.6-8.1.0,8.1.0,20.91822,0,2075,0,0
Vampire---4.6.1-8.1.0,8.1.0,20.90359,1,1999,1,1
Leo-III---1.6.6-8.0.0,8.0.0,20.90052,1,2073,0,1
Leo-III---1.2-7.2.0,7.2.0,20.89942,0,1998,0,0
Leo-III---1.5.6-7.5.0,7.5.0,20.8131,1,2071,0,1
Leo-III---1.7.0-8.2.0,8.2.0,20.61132,0,2062,0,0
Leo-III---1.7.7-8.2.0,8.2.0,20.54914,0,2072,0,0
Vampire---4.7-8.2.0,8.2.0,20.4965,0,2016,0,0
Leo-III---1.4-7.4.0,7.4.0,20.46977,1,2071,0,1
Zipperpin---1.5-7.4.0,7.4.0,20.24522,3,2057,0,3
Lash---1.12-8.2.0,8.2.0,20.01173,0,1909,0,0
Vampire---4.6.1-8.0.0,8.0.0,19.6165,0,1912,0,0
Satallax_MaLeS---1.3-6.3.0,6.3.0,19.59294,346.04524,2024,0,13
Satallax_MaLeS---1.3-6.4.0,6.4.0,19.59294,0,2024,0,0
Satallax_MaLeS---1.3-7.0.0,7.0.0,19.59294,0,2024,0,0
Satallax_MaLeS---1.3-7.1.0,7.1.0,19.59294,0,2024,0,0
Satallax_MaLeS---1.3-7.2.0,7.2.0,19.59294,0,2024,0,0
Satallax_MaLeS---1.3-7.3.0,7.3.0,19.45531,0,2019,0,0
Satallax_MaLeS---1.3-7.4.0,7.4.0,19.45531,0,2019,0,0
Satallax_MaLeS---1.3-7.5.0,7.5.0,19.45531,0,2019,0,0
Satallax_MaLeS---1.3-8.0.0,8.0.0,19.45531,0,2019,0,0
Satallax_MaLeS---1.3-8.1.0,8.1.0,19.45531,0,2019,0,0
Satallax_MaLeS---1.3-8.2.0,8.2.0,19.45531,0,2019,0,0
Satallax---2.8-6.3.0,6.3.0,19.43216,326.86905,1965,0,9
Satallax---2.8-6.4.0,6.4.0,19.43216,0,1965,0,0
Isabelle-HOT---2016-7.0.0,7.0.0,19.40964,2.16667,2030,0,0
Isabelle-HOT---2016-7.1.0,7.1.0,19.356,0,2024,0,0
Isabelle-HOT---2016-7.2.0,7.2.0,19.356,0,2024,0,0
Isabelle-HOT---2015-6.4.0,6.4.0,19.22636,0,2021,0,0
